Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.132853561156037	0.28495618939211	0.0966629039372668
LINC01128	0.480978465111997	0.632638002746095	0.00858182351135559
LINC00115	0.391591442404253	0.560972873562858	0.0439372711091324
FAM41C	0.693526587923973	0.77721051737158	0.0179068318140005
NOC2L	0.643491748982413	0.742252052353816	0.0613515089010901
KLHL17	0.240363977516392	0.41686795533604	0.0650901420793633
HES4	0.752035003096344	0.817426441154828	0.0901283327144048
ISG15	0.984441743156921	0.985652320804679	-0.0153823149563266
AGRN	0.0278160387861137	0.0975078305668216	0.115396647364549
SDF4	0.781061602223515	0.835957001836455	0.0639812552750743
B3GALT6	0.47982109167498	0.631879986265531	0.0478554393537796
UBE2J2	0.159419788337528	0.321498328098783	-0.189343528016676
SCNN1D	4.03072013645378e-10	6.31117756750128e-08	-0.0496654354461139
ACAP3	0.321657017646342	0.499287894829026	0.212090245554725
PUSL1	0.893685408992709	0.913583317990119	-0.0109194793254772
INTS11	0.684761497252673	0.771690742338545	0.0649726286540608
CPTP	0.966390474244725	0.971161594828505	-0.00111540761581339
DVL1	0.00442966297552501	0.0253274690637111	0.263956035279937
AURKAIP1	0.357708961948221	0.532378692697248	-0.24706191679972
CCNL2	0.00394349038510944	0.0232739481787169	0.285714129510951
MRPL20-AS1	5.89199798523013e-06	0.000140819904879874	-0.0297492084855966
MRPL20	0.102944917205954	0.239479290254537	-0.320815325452253
VWA1	0.831047090365962	0.869938982998157	0.0474092200034508
ATAD3B	0.0868179120474412	0.213124468854287	0.09602994792306
ATAD3A	0.407633222739943	0.573881792429156	0.0159913554151082
TMEM240	0.626085908755522	0.732272285350621	-0.057321151816783
SSU72	0.0632644041828214	0.172181736736419	-0.208284613498515
AL645728.1	0.291652343625706	0.470224432039702	0.060219129922986
FNDC10	0.431751370163253	0.592269963361093	0.057714561471386
AL691432.2	0.742695305970917	0.810904018730238	0.0169219614246389
MIB2	0.603359963315038	0.722079128345193	0.0255457049693467
CDK11B	0.000145330009626465	0.00182042605904412	-0.147666027649628
SLC35E2B	0.229973188688817	0.40400784716003	0.186074143708656
CDK11A	0.00208270820525075	0.014386943049054	0.239668194422816
AL031282.2	0.101201474990338	0.236685175144131	0.0578303673934984
