Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.102397589762285	0.165881650585858	0.0919263225927882
LINC01128	0.987797696105622	1	0.0011115745003525
LINC00115	0.417247800182945	0.526702571951866	0.0420787274805632
FAM41C	0.57284215782793	0.677262465977977	0.0389488513595237
NOC2L	0.791042137643597	0.865060675773751	0.0483827636064182
KLHL17	0.489281004150307	0.599056531698015	0.0241829710884677
HES4	0.054975669623841	0.0988833362468292	-0.0142979847676465
ISG15	0.391857958718707	0.500550282379622	-0.114801446586564
AGRN	0.00227570954141299	0.00655346395408555	-0.0216204012925356
SDF4	0.00184038194330036	0.0054502446277634	-0.0316510651170369
B3GALT6	0.679282096082469	0.77208676030295	-0.04881670904611
UBE2J2	0.00172610551202317	0.00515085215767991	-0.18594140404942
SCNN1D	3.400687757791e-11	1.04091728285467e-09	-0.0653648041661316
ACAP3	0.000334256238037853	0.00126857409420643	0.357281235983248
PUSL1	0.701106816070648	0.790552120375832	0.0311006590119133
INTS11	0.369511885233147	0.478613708171856	0.0434342905079534
CPTP	1	1	-0.017396138610085
DVL1	0.0168872580789423	0.0361071573736208	0.156854066060461
AURKAIP1	0.00163343060902327	0.00491668287582709	-0.417886863946854
CCNL2	3.00952360106036e-06	2.19042382239274e-05	0.409476338837522
MRPL20-AS1	1.35411790497651e-06	1.10105472526486e-05	-0.0270670431083303
MRPL20	0.0601911571514982	0.106600145343858	-0.219062223553647
VWA1	7.08715877196846e-05	0.000339833019560466	-0.377066331944772
ATAD3B	0.129962192603528	0.202555928824258	0.0647107069977801
ATAD3A	0.562768962874699	0.668394179090606	-0.0204090479739617
TMEM240	0.00127897604115696	0.0039938978242521	-0.06134504485917
SSU72	0.000608158092519763	0.00212273071847495	-0.0796569763198243
AL645728.1	0.452790099727547	0.56078749497744	0.0379371686438771
FNDC10	0.871426666351712	0.926018783272727	0.0110340691535808
AL691432.2	0.00702815432581283	0.0171427965290258	-0.0633694529787164
MIB2	0.476929241256664	0.586461621372094	0.0661242059955156
CDK11B	2.32195098946552e-08	3.20429236546241e-07	-0.167746530562693
SLC35E2B	0.115384953185882	0.183608655799241	0.179741103048965
CDK11A	0.0069105314849894	0.016899944138201	0.15315015883525
AL031282.2	0.0723497323958988	0.124311660347652	0.0596318253221862
NADK	0.120355166882421	0.190327289024344	0.0963275173632913
GNB1	0.00559139237787591	0.0141206937781221	-0.0587338888094739
PRKCZ	0.00270760922481786	0.00760359426596932	0.0135165466075446
FAAP20	0.00897529391784796	0.0210920270576635	0.0585661642519062
SKI	4.18014609441412e-05	0.000214414633561863	-0.107990050350646
RER1	0.010814394129208	0.0246917546270362	-0.143252517255494
PEX10	0.363295163593181	0.472113623426635	-0.100119705069815
PANK4	0.681182569105589	0.773670856178421	-0.0274624972751119
HES5	0.904954432673036	0.95154614603838	-0.0746411912099416
AL139246.5	0.217968350858465	0.311132242757648	-0.0725218129222895
PRXL2B	0.901135156033391	0.948837284303457	-0.0303766367006195
PRDM16-DT	0.353977473778413	0.461872530689718	-0.0812120341331895
TPRG1L	1	1	-0.00952833285415967
WRAP73	2.06096608401348e-13	1.1137424240733e-11	-0.065267279904504
LRRC47	0.119696997134185	0.189458194142017	-0.00469464621288018
CEP104	0.000594891303762381	0.00208177865124641	0.0840723611984154
DFFB	0.00621840956739215	0.0154360642371057	-0.0275212547925551
C1orf174	0.156122376800623	0.235863754065563	-0.0610235688508211
NPHP4	0.240446280046202	0.338080867856811	0.059864750664869
KCNAB2	0.925827852614028	0.9674968395632	8.57285418192008e-05
RPL22	0.00570931837833373	0.0143680002791242	-0.415645517321818
ICMT	1.99817371375352e-05	0.000113400072333047	-0.00869789806581887
GPR153	1.99406013127253e-05	0.000113219230047566	-0.100962353569052
ACOT7	0.00504306175314255	0.0129747025892416	0.0244223552183714
NOL9	0.447262808487441	0.5551113727232	0.0194547001829773
ZBTB48	0.0729001261700331	0.125098951934047	0.0848312706771139
PHF13	0.000241063737763002	0.000965282435835915	-0.0423433521076864
THAP3	0.0150787379626967	0.0327447771583241	-0.0391075261727238
DNAJC11	0.394555915976015	0.503222645564675	0.0731360801921817
CAMTA1	0.0744761066789254	0.127266921907054	-0.0409443484821018
VAMP3	6.70491049177316e-05	0.000324048562865159	-0.111995732210065
PER3	2.96224161115404e-05	0.000158883868234626	-0.0733266517445578
PARK7	7.1883078611567e-12	2.65229014828721e-10	-0.778256888909111
ERRFI1	0.000255617920676682	0.00101293370059193	0.0299109450314438
RERE	1.13486884339858e-06	9.42867563566451e-06	-0.0277634327307441
ENO1	3.17889942519302e-08	4.21540702278853e-07	-0.712233541835178
H6PD	0.00883157023272297	0.0207982968091488	0.147623821479688
SPSB1	0.0498832837226707	0.0911467001952389	-0.0517879633238154
SLC25A33	0.142639892721034	0.218796911555135	0.00360867578271434
TMEM201	0.0149914079500959	0.0325783034331887	-0.0678793047326274
CLSTN1	5.01691535981517e-10	1.07305757074295e-08	-0.653494112852181
CTNNBIP1	0.0780130889321031	0.132225863518182	-0.0774885529224943
LZIC	4.71611088693866e-05	0.000237419053018062	-0.225129807718453
NMNAT1	0.174426846619376	0.258136684306208	0.0765324787277895
RBP7	1	1	-0.0159868244817328
UBE4B	0.317698573249153	0.42404947268764	0.0430356570019989
KIF1B	0.000192256869402966	0.000797024150040197	0.115139085502303
PGD	7.91642374311198e-07	6.91582855326371e-06	-0.174770858443757
DFFA	0.0258161331883856	0.0519085338540917	0.127674636726465
PEX14	5.79065268004496e-05	0.000284433201103387	-0.0569793873402129
TARDBP	0.036157337473438	0.0692363691695043	0.176104172130438
SRM	0.000247969087848411	0.000986464648173498	-0.434039903394662
EXOSC10	0.0113198186713053	0.0256729703681803	0.225545034388005
MTOR	2.92940439795274e-07	2.93012415333308e-06	-0.122799078543331
UBIAD1	0.00346766933486993	0.00942381966772729	-0.0420438549698385
DISP3	0.000468462358071922	0.00169849457994361	0.00560555190199628
FBXO2	9.07432240407409e-06	5.68915295282119e-05	-0.348445287225481
FBXO44	0.0575820824423233	0.102814323518727	0.0506320843904991
FBXO6	0.00707984244070185	0.0172414986497092	-0.107095899520707
MAD2L2	0.00191215672129528	0.00563541748001429	-0.192968918257165
DRAXIN	0.00205973919693669	0.00601376878130238	-0.177166920684109
AGTRAP	0.000941970470216395	0.00308674144157575	-0.170998261285703
MTHFR	0.173269228212985	0.256812752932668	0.0729331603185564
CLCN6	0.434586627636092	0.543533690048089	0.0405707516486735
AL021155.4	0.00237329253568269	0.00679442609899032	-0.0639140593169929
KIAA2013	0.163671244228486	0.2450253623146	-0.0612859160545048
PLOD1	1	1	-0.00685775443635476
MFN2	0.0027611044383047	0.00773603315095555	-0.015669334289961
MIIP	0.338610978801633	0.446256165329054	-0.0255576991823553
VPS13D	9.32136325344399e-05	0.000427173768909236	0.190181886680761
PDPN	5.08284711338816e-07	4.74230800579141e-06	-0.348838667445068
PRDM2	9.6452274908705e-06	6.00087434263889e-05	-0.12493918886103
KAZN	0.000360353106296932	0.00135331872300259	-0.315350890057832
AL031293.1	0.16860914937421	0.250971790531045	-0.0485369632005467
TMEM51	0.0453470002171103	0.0838998505759079	-0.111972441725698
EFHD2	0.955707145923669	0.988319337270599	0.00113383904067767
CASP9	0.666992980547958	0.760809308997124	0.0173907097895582
DNAJC16	7.53165420232826e-05	0.000357497445678333	-0.123154596535362
DDI2	0.157269630817625	0.237215512063191	0.0743705841983423
