Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.0384511588903831	0.0858665210327754	0.0258706834544578
LINC01128	0.100903665930147	0.172065969283005	-0.0161385688357443
LINC00115	0.740338809057164	0.783582448653709	-0.00164071240194064
FAM41C	0.248254873301419	0.335762654222618	-0.00522338083380785
NOC2L	0.0787274565740147	0.144260829278086	0.0110348732896264
KLHL17	0.469378133984088	0.547465872442715	0.0123338554859498
HES4	0.645371848544455	0.701925940535527	-0.0153097863437671
ISG15	0.00349547139028565	0.0146299493110208	-0.0718554879139452
AGRN	0.305379391877832	0.39292019732448	0.0341425121949797
SDF4	0.00529510957297232	0.0198371696977641	-0.0256707849359143
B3GALT6	0.00682863600989358	0.0239649803416179	-0.0132317728362203
UBE2J2	0.0251432087289637	0.0628734660538153	-0.0585463393127342
SCNN1D	0.0014384816825113	0.0074189935762291	-0.064113711159573
ACAP3	0.00245924845262043	0.0112237673213204	-0.0641135847552461
PUSL1	0.990014567858857	0.992045283660996	-0.00112089035492935
INTS11	0.222234370560274	0.308427092090383	-0.0397042246392557
CPTP	0.377984813300829	0.462604321559577	-0.0161493871499895
DVL1	0.000235870739956947	0.00173640105310078	-0.00407659588398068
AURKAIP1	0.000336754130385856	0.00229635856750556	-0.0879113190513082
CCNL2	0.0405474850508842	0.0890224068588797	-0.0588331302698406
MRPL20-AS1	0.61556949475407	0.676683189867818	8.77627725587582e-05
MRPL20	0.23984810994386	0.327072908301068	-0.0674769839453808
VWA1	1.39027185625382e-14	7.78871109193941e-13	-0.193900134554397
ATAD3B	6.87545854674411e-05	0.000629460084193297	-0.0307112421831369
ATAD3A	0.00569161135888325	0.0209542407296211	-0.0530026406517845
TMEM240	0.000818539100066563	0.00472439415364505	0.0131075431035389
SSU72	0.0846649656514013	0.151693097977603	0.0671485049198405
AL645728.1	0.195921542341223	0.280632129981991	0.00537567357849784
FNDC10	0.00160833143478017	0.00810081145987746	-0.0242556093157933
AL691432.2	0.47782906323073	0.5550792090468	-0.00191579420261434
MIB2	0.0944809824082768	0.164325867011149	-0.0273028490141186
CDK11B	0.0173938190398348	0.0484308068070459	-0.0148237726935007
SLC35E2B	0.00478165749937836	0.0184105873391891	-0.00110200730002458
CDK11A	0.0726465920244056	0.135891074956971	-0.0254774593152576
AL031282.2	0.0917874885399595	0.160786086852915	0.0182539658313784
NADK	0.264603112000494	0.35230952621055	-0.0159185094703799
