Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.263093128842043	0.428192481682819	-0.026703017676542
LINC01128	0.359044556293166	0.522336053127866	0.00157521793829647
LINC00115	0.268920345040814	0.434779477625557	-0.00884553705213018
FAM41C	0.332786230165598	0.497529468602332	0.0132935275620901
NOC2L	0.0208768781880621	0.0771698890165867	-0.0544502602661212
KLHL17	0.00943118314378755	0.0426761910837634	-0.0315559368349268
HES4	0.00683717799257641	0.0335099076659908	0.0931507084167216
ISG15	0.00148616324867645	0.0101229848054018	0.0816421730457782
AGRN	0.000372822304435451	0.00332362974143534	-0.0904108056337639
SDF4	0.601667712102069	0.72831905379751	0.00312143999641695
B3GALT6	0.885920610167845	0.927062669178296	0.0097880314230879
UBE2J2	0.441367704028314	0.599182297191375	-0.019715234162056
SCNN1D	0.0140230288148303	0.0574323443714025	-0.0450038810936432
ACAP3	6.26162987827272e-28	1.29615738480245e-25	-0.391133298042893
PUSL1	0.107710452960638	0.239742621105937	-0.0208242830025144
INTS11	0.0474280392485128	0.136548477921284	-0.0249863542627342
CPTP	0.555791665395401	0.692314897366067	0.0145418060818551
DVL1	0.892346937517113	0.93119124874458	-0.00906761497703426
AURKAIP1	3.81107629874054e-05	0.000464981766598584	0.175198597775053
CCNL2	0.00435742730923146	0.0235474600564795	-0.0707822039344612
MRPL20-AS1	0.391169584362195	0.553896131456868	0.0169202130825493
MRPL20	0.1291951584949	0.2710444224633	0.0733912025787733
VWA1	0.184359732300158	0.340324276085525	0.0400706053768458
ATAD3B	0.0184629431901182	0.0704209635168376	-0.0381104647449732
ATAD3A	0.192664049330731	0.350828393391415	-0.0279447453642005
TMEM240	0.30680503448638	0.474523883907522	-0.00143887357107941
SSU72	0.369032505590136	0.533032214135662	-0.0163013220071643
AL645728.1	0.843098462723461	0.898861420165543	0.00166886505591506
FNDC10	0.152417100718043	0.302102695910403	0.0174978081925259
AL691432.2	0.899083878023397	0.935466979238349	0.00888309463382275
MIB2	0.0650508815647908	0.169457156173672	-0.0389101524278196
CDK11B	0.960043901258748	0.972949644516894	0.00395840805969525
SLC35E2B	0.628783636829402	0.750301373385196	-0.0123298653069758
CDK11A	0.199429344702941	0.357660116544157	-0.0248720712170651
AL031282.2	0.0987990814718018	0.226555235076064	-0.0222190005767415
NADK	0.0728872581179598	0.183049986303649	0.00898164562959272
GNB1	0.0864611489614144	0.206684285039294	0.0572432488716562
PRKCZ	0.21711017382729	0.378578891055496	-0.030033601850493
FAAP20	0.109357977183249	0.242206990178392	-0.0572510075162002
SKI	0.057830890487855	0.156326499174793	-0.0480526948428313
RER1	0.43352510306862	0.591678194594062	0.030811457068322
PEX10	0.200002277993502	0.35841934279305	-0.0333970428508657
PANK4	0.0323270045729896	0.104336603290148	-0.0241788051661768
HES5	5.93117381322059e-08	1.36932751948701e-06	0.283577062171022
AL139246.5	0.000386941646771431	0.00342195389719007	0.0499136174812574
PRXL2B	0.577554442662927	0.708365982689517	-0.00834553744481731
PRDM16-DT	0.579460872450589	0.710109937310761	-0.0125078850964062
TPRG1L	0.221749964187185	0.384154707595412	0.0144547671609523
WRAP73	0.0754365806889414	0.18754244308357	-0.0380315948121269
LRRC47	0.362037509212477	0.525251140414823	-0.025771842464817
CEP104	0.0293753725108831	0.0975425297649306	-0.00924012453081685
DFFB	0.323373626214197	0.488196025130575	-0.0125666101583736
C1orf174	0.421447625502936	0.581269322446906	-0.0143864927469833
NPHP4	0.0152685707686092	0.0611594144955801	0.00248593298447061
KCNAB2	0.317945823816028	0.483932246543513	-0.00701171227456307
RPL22	1.42823692681241e-07	3.11483171199286e-06	0.238808578572717
ICMT	0.271197495589154	0.437051777134027	0.02012346091854
GPR153	0.000289460473802458	0.00267209430578187	-0.0473964203810672
ACOT7	0.00141469868682708	0.00974490415240789	-0.0573661187964691
NOL9	0.0357614878327214	0.111486587127264	0.0050775881994137
ZBTB48	0.77874278027924	0.855825211513575	-0.00855807490487892
PHF13	0.71377349221115	0.809210141227538	-0.000899046313702676
THAP3	0.307691445769552	0.475134103828997	0.0198454199258989
DNAJC11	0.407861845235221	0.568550815980137	-0.0149090660702343
CAMTA1	0.824056257416703	0.884686978888027	0.0236394381818751
VAMP3	0.00424765568587762	0.0231179228572297	0.0501801893577883
PER3	0.0143360203176019	0.0585571291434354	-0.0583276475331001
PARK7	5.81264294785875e-11	2.03409192900283e-09	0.283207720282172
ERRFI1	0.0134069160987538	0.055674487016008	-0.0252405742084143
RERE	0.707577403790457	0.805147007592737	0.0217644975516258
ENO1	8.73372573580587e-06	0.000126831144365514	0.109888984558036
H6PD	0.0693223912569806	0.176787296809669	-0.035715345356408
SPSB1	0.0374008416756272	0.115551854132162	0.0468231376809965
SLC25A33	0.220836436443281	0.383379587531171	0.0353859400655556
TMEM201	0.985205949993278	0.988768203407668	-0.00155979522832668
CLSTN1	1.642281233894e-07	3.53742164189548e-06	0.227585014882696
CTNNBIP1	0.223306016048678	0.385631763424375	-0.0141849652259194
LZIC	0.0131034923111943	0.054749555797679	0.0890417080103109
NMNAT1	0.254866563477974	0.418944518729621	-0.0113969717689521
RBP7	0.0113775477367124	0.0493444568567005	0.0248715133157581
UBE4B	0.00963253108348283	0.0433783562398879	-0.0468131956468895
KIF1B	0.835970546309221	0.893785194964065	-0.0190660024709441
PGD	0.320029338132532	0.48523899408302	0.032902809141843
DFFA	0.535828066183373	0.676809201809654	-0.00651844171461236
PEX14	0.990546165143593	0.992718348255594	0.00137245527684213
TARDBP	0.267636842966183	0.433013119455387	-0.0162309785791053
SRM	0.779434396050816	0.856354109299084	0.00297524582688691
EXOSC10	0.00129127497208686	0.00903744483329328	-0.0748183983624474
MTOR	0.006093092605294	0.030673924150229	-0.0512931584052021
UBIAD1	0.0285951060463634	0.0956276095685203	-0.0230347143356959
DISP3	0.614972861396805	0.738908119902818	0.00337000692862172
FBXO2	0.922829373246574	0.95085760022445	0.00423350046863837
FBXO44	0.618259580370405	0.741606656227616	-0.0155994077539228
FBXO6	0.662647964890645	0.774696222325926	0.000168094658972093
MAD2L2	0.152881520306021	0.302731866059965	0.0112131186429496
DRAXIN	0.0872821126467348	0.20795482671763	-0.026770055792188
AGTRAP	0.978176063868619	0.984211335744326	0.000879836583227905
MTHFR	0.407480239319908	0.568164877590368	-0.0173805250872023
CLCN6	0.865636521882403	0.91248220626185	0.0030894028643754
AL021155.4	0.301377050897145	0.468403909723445	0.0137798662354919
KIAA2013	0.0689989925469691	0.176224209986597	-0.0373673093539799
PLOD1	0.786764702670309	0.861440821713142	0.00265855112638799
MFN2	0.226694885463591	0.389070353592866	0.00231143938989617
MIIP	0.708908617791292	0.805760907313638	-0.00669973083714698
VPS13D	0.178644758981226	0.332995793870226	-0.0452982220460376
PDPN	0.255845425683799	0.420101949594993	0.030159879417085
PRDM2	0.13616891122688	0.280917383921264	-0.0399726986400831
KAZN	0.174701964644068	0.328605435730479	0.0316222469767592
AL031293.1	0.479011407936508	0.630473792987237	-0.0119128658068866
TMEM51	0.411073177621519	0.571673504701846	-0.00195938131556286
EFHD2	0.248899905504969	0.412010645965327	-0.0108931490212199
CASP9	0.201300162609618	0.360269473322284	-0.00513154942432131
DNAJC16	0.157393744674875	0.308547320018338	-0.0260644840925231
DDI2	0.00800597580043251	0.0377663122636857	-0.0436037715507047
PLEKHM2	0.0330375149496209	0.105874355833041	-0.0338011090200031
FBLIM1	0.0708098631206194	0.179419265205835	-0.0278172371061971
FLJ37453	0.000275856268715142	0.00256590450100383	0.0241752237185573
SPEN	0.248491559097022	0.411502021864668	-0.0553776765894438
ZBTB17	0.553546131999219	0.690617929319283	-0.00733769037831433
ARHGEF19	0.0248226447424695	0.0869397649096012	-0.0224029820570115
FBXO42	0.0108116396604099	0.0472762460338655	-0.0449675135237419
SZRD1	0.0331441435305938	0.106021326594851	-0.00605553331233202
NECAP2	0.0153501577754717	0.0613881980691982	-0.0563702904274798
NBPF1	0.19311538390192	0.35144064723501	-0.0418354575844007
CROCC	0.623847226075778	0.746024067873714	-0.00667531748974333
BX284668.6	0.769628485923504	0.849513727756201	0.00767482827968695
