Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.185744964365402	0.403273074301655	-0.0216717748642115
LINC01128	0.221165835219959	0.447720594321458	0.0054614672334707
LINC00115	0.313524423836087	0.558257840300282	-0.00984851411645022
FAM41C	0.123848027086505	0.308810934015411	0.0139450440999921
NOC2L	0.11960105142116	0.300986532249459	0.031905125989334
KLHL17	0.922888913837668	0.967571663207094	0.00161155615201129
HES4	0.0796776991724024	0.2289655858806	0.00797059735471806
ISG15	2.39123901739389e-05	0.000248758110046266	-0.0375549136903462
AGRN	0.335421699666561	0.580405953248472	0.00675343423762534
SDF4	0.812430563712951	0.91499580179143	0.0154234946766448
B3GALT6	0.413145362396873	0.65030858499201	-0.0196601902695296
UBE2J2	0.409896923203641	0.6482089173964	-0.0176385665217986
SCNN1D	0.15859247479269	0.364100868176742	-0.019838171301809
ACAP3	0.303669868901662	0.54797873949409	-0.0232134580717648
PUSL1	0.195446443008322	0.415344946660976	-0.0175252815067043
INTS11	0.129642058141267	0.31902447231096	0.0351741914445842
CPTP	0.95657220750033	0.981237726373386	-0.00293505901912233
DVL1	0.150672588231137	0.352049802959036	0.0253353482348415
AURKAIP1	0.00265746357708397	0.0163093480738324	-0.0547598666599161
CCNL2	0.231005706828774	0.460687631403016	0.0385434492219561
MRPL20-AS1	0.059806920267351	0.187528091713776	0.0210654622234108
MRPL20	0.00469883028667376	0.0261415203498593	-0.100417966386103
VWA1	1.71025706672818e-13	5.42529079375359e-12	-0.158783633535619
ATAD3B	0.859690432227665	0.937467890769998	-0.0047800253674787
ATAD3A	0.245603988900833	0.479086650127115	-0.0142565772613534
TMEM240	0.245772681369902	0.479339150043215	-0.0123476879365132
SSU72	0.498444659657843	0.720585301657343	-0.0193915622187835
AL645728.1	0.596248723683919	0.789368965020158	-0.00748199644176559
FNDC10	0.779256821554233	0.898201958351667	0.00364276981698965
AL691432.2	0.994889776140439	0.997339640154574	-0.00127226152449647
MIB2	0.312689391987738	0.557174721964728	0.0196496690735749
CDK11B	0.000838113584282101	0.00600344938700135	0.054067271023356
SLC35E2B	5.07718955056516e-06	5.84427106324715e-05	0.111551664472968
CDK11A	0.806909237441245	0.912142032290811	0.00857165124619969
AL031282.2	0.214013257840455	0.438999019221945	0.0104780381801627
NADK	0.0595782623187754	0.187003165689849	0.0267432235337501
GNB1	0.000153188439004347	0.00133347786536399	0.122642420386087
PRKCZ	0.641667445296386	0.817802920200212	0.0112800508690282
FAAP20	0.519210911462319	0.735970619973224	-0.00696065822743724
SKI	0.357988706557993	0.602053989698811	-0.0222685879125863
RER1	0.0286389107599199	0.109419757237123	-0.0683551820467774
PEX10	0.0744510266468542	0.219154106637269	-0.0199972222850521
PANK4	0.484087176684311	0.708721732060116	-0.00845332410196153
HES5	1.8783637991762e-17	8.35602114211896e-16	-0.415691152756698
AL139246.5	0.00215653173630559	0.013590155880031	-0.0474694881345858
PRXL2B	0.6621694922208	0.830073152654511	0.00137836828124006
PRDM16-DT	0.871895926407319	0.943260248845122	-0.00322686752435553
TPRG1L	0.506412796189412	0.727536799110067	-0.00161714375189359
WRAP73	0.249439398729232	0.483243230932279	-0.0209440181540074
LRRC47	0.0461180602633179	0.155978917196317	-0.0348533443281155
CEP104	0.000137970632504289	0.00121138413714945	0.0632432758331603
DFFB	0.718010039364057	0.863011181060253	0.00594091623608329
C1orf174	0.559594286111033	0.763100158136897	-0.00424975215372293
NPHP4	0.2808601217697	0.52128850649851	-0.00812593593266001
KCNAB2	0.0767197875866223	0.22324964636536	-0.00770047945662025
RPL22	1.66509755778396e-23	1.18923020311202e-21	0.253962473706548
ICMT	0.493940087713856	0.717535430884951	-0.00578257281272172
GPR153	0.00844625387868179	0.0423979032553805	-0.026154977663108
ACOT7	0.187688147658149	0.405490066751986	-0.0198326525117632
NOL9	0.777009462853603	0.896600205010493	0.0108307227387193
ZBTB48	0.947469903860182	0.978254017075709	-0.00265837934859571
PHF13	0.89193519896381	0.952869540320593	0.00248491447614067
THAP3	0.410255054616763	0.648517341707808	-0.0131687027046054
DNAJC11	0.87888461359985	0.946331689530059	-0.00270323434090847
CAMTA1	0.0241775965370461	0.0959513862105777	0.0870193164837922
VAMP3	0.00645820921672101	0.0339097631830669	-0.0518196218341263
PER3	2.23261152436231e-09	4.5369192257965e-08	-0.110315161940696
PARK7	0.284704563031825	0.52571769402898	-0.0410609554590253
ERRFI1	0.561996299651034	0.764753293330148	0.00906882394639111
RERE	0.00278064189203168	0.0169460975186541	0.0983331305572236
ENO1	0.000262141312086804	0.00211461812715729	-0.0640555985547844
H6PD	0.0707462650649326	0.211822538670758	0.0232850575629783
SPSB1	0.014004933158414	0.0631385192557069	0.0402409466484801
SLC25A33	0.340767988902783	0.585756431874692	-0.0115567920020357
TMEM201	0.898103097323644	0.955863453386812	-0.00312291671750382
CLSTN1	0.320987103233208	0.565005820979616	-0.0391293733551539
CTNNBIP1	0.731901506251488	0.871134694069722	-0.00694359499658864
LZIC	0.132563070557202	0.323798556143021	0.0467247016606259
NMNAT1	0.272338349078497	0.50989855239854	-0.0147297873279911
RBP7	0.00135813544923483	0.0091186961195739	-0.0260406305418691
UBE4B	0.069162340868243	0.208371379069241	0.0273088638453909
KIF1B	5.07070619701087e-09	9.79881879495154e-08	0.188077084724698
PGD	0.00524372774977212	0.0286545254319926	0.0627058431227192
DFFA	0.735190743396217	0.872855405526864	0.00722738556727412
PEX14	0.83950224588854	0.927858907605134	0.00518119741488685
TARDBP	0.000314458753617793	0.00250684383677161	0.0840444604865607
SRM	0.00257470456733276	0.0158572198087922	-0.0808814859201927
EXOSC10	0.0105331499186074	0.0503883117727974	-0.0607888447012069
MTOR	0.0376091215316432	0.133834557478426	-0.0440016543724808
UBIAD1	0.316674749538522	0.56124636716209	-0.00681339878847891
DISP3	0.772359686248679	0.894846280397252	0.00406819852390104
FBXO2	7.13949260402936e-45	1.24563747390015e-42	-0.220371458496401
FBXO44	0.00296063615074604	0.0178735785017605	-0.0488125621204509
FBXO6	0.0305658524380347	0.114826439811048	-0.0252863008704547
MAD2L2	0.16337313135478	0.371473560718959	0.0316493389596184
DRAXIN	0.234346362543349	0.464335163722314	0.01382595609949
AGTRAP	4.59395543727465e-05	0.000451012682921506	-0.0334393387991981
MTHFR	0.816386368446212	0.91758129265464	0.00564385873814914
CLCN6	0.828618550437423	0.922592611586494	-0.00524222238863147
AL021155.4	0.80817822271604	0.912816113384907	-0.00331712011981351
KIAA2013	0.268675705630037	0.506328054482448	-0.0178935649483424
PLOD1	0.517775760778276	0.735130826131723	-0.00801959582136905
MFN2	0.00846969344469876	0.0424819779172908	0.0323976045375075
MIIP	0.655483992659705	0.826323906105799	-0.011597414229216
VPS13D	0.343120950297902	0.588227985119073	0.0220410340021778
PDPN	1.26503316858766e-09	2.63649318907186e-08	-0.110427878861415
PRDM2	0.925859473192827	0.968688074536975	0.000207355647032115
KAZN	0.0214969182129042	0.0876978292007446	-0.0634342463152998
AL031293.1	0.704764317881271	0.85694872226051	-0.00474309639276206
TMEM51	0.000193992261305891	0.00163282390580899	-0.0413981151617364
EFHD2	0.909657428737155	0.961551591296275	-0.00180420177532965
CASP9	0.698211222133992	0.853243453562689	0.00577015825741935
DNAJC16	0.322317820311076	0.566464898253647	-0.0151100264673542
DDI2	0.440432946521798	0.67344463342538	-0.010471475033193
PLEKHM2	0.976188251232952	0.98763393737362	-0.00144128911124311
FBLIM1	0.000371774675012181	0.00291804891126206	-0.0380855091728882
FLJ37453	0.00871774479095955	0.0434570682171384	-0.0419107145889988
SPEN	0.00443644652820745	0.0249114121604587	0.078661658446172
ZBTB17	0.290671863975594	0.532389843241441	0.0188436903190588
ARHGEF19	0.705397982386454	0.857301777180392	-0.00423813296810086
FBXO42	0.0192658972693257	0.0806355049178462	-0.0159126717728751
SZRD1	0.249013858701414	0.48319133401976	-0.00269816821847374
NECAP2	0.412624337368725	0.650158822382175	-0.0170415696502848
NBPF1	0.133891383521258	0.326064898692946	0.00753426597035695
CROCC	0.022690456416348	0.0911490629884851	0.0222841746800312
BX284668.6	0.0918746535225143	0.253177982491362	-0.0218460118682068
ATP13A2	0.178136370531564	0.393848043263974	0.0106982177447544
SDHB	0.138783144858745	0.333484858928143	0.00986652756629064
PADI2	0.0543708452426387	0.174883100592138	-0.0178235896730189
RCC2	0.000474961035233519	0.00363908351524904	0.0776582876249166
ARHGEF10L	0.203473345696699	0.426342899245891	0.0203395102358117
