Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.136278815946177	0.490179620552159	-0.0363635864288892
LINC01128	0.132628485188304	0.48551939288838	-0.0312803937048602
LINC00115	0.210049366280067	0.576349788896531	-0.0230858901209118
FAM41C	0.0408519827300249	0.289035961349841	0.0508330202873654
NOC2L	0.656099912562901	0.85913296083379	0.0234045763560828
KLHL17	0.91977649807358	0.962051889066922	-0.00706664754478992
HES4	0.504902157023486	0.789143849977967	-0.0824560679225144
ISG15	0.778075193093953	0.913053249076997	-0.0352194332905663
AGRN	0.161041791004025	0.520593804534717	-0.144408444989423
SDF4	0.0540706035837578	0.333348955864934	0.0212050643483523
B3GALT6	0.0228531175189244	0.222642611443437	-0.05971507401284
UBE2J2	0.0641094292192185	0.355410103973816	-0.0667213359109275
SCNN1D	0.271955016083885	0.635277305630606	-0.0560852419967078
ACAP3	0.0881670733769727	0.408491831241642	-0.163086411884658
PUSL1	0.133068115683816	0.486283930833764	0.0658667292116066
INTS11	0.397209935217814	0.727502442206673	0.017369894806318
CPTP	0.00656136463933017	0.11238982656401	0.0888856014230277
DVL1	0.0396627203690139	0.283939509886733	-0.112919783384176
AURKAIP1	0.575458523943488	0.825776784609664	-0.0881784877845649
CCNL2	0.466576437341887	0.771186632731962	-0.00975375117816868
MRPL20-AS1	0.803151953964424	0.922842676993839	-0.0085305153767718
MRPL20	0.758003045085854	0.905158039490602	0.0583470659077163
VWA1	0.0232784392045682	0.225381465835994	-0.199946182244167
ATAD3B	0.122705262180102	0.470892830060696	-0.0683641824740451
ATAD3A	0.461702564617383	0.76812061322328	-0.0329547223557734
TMEM240	0.12421351945721	0.473295598257786	0.0112432844989701
SSU72	0.121900204820006	0.469119111843214	0.110268010974797
AL645728.1	0.41582088874228	0.740474629231139	-0.0264838991853477
FNDC10	0.952856969824384	0.97423542674468	-0.00993361871122668
AL691432.2	0.0225804641544938	0.221862597521185	-0.0929420902200927
MIB2	0.598279758115746	0.834966367942818	0.0578238368585737
CDK11B	0.578637933994792	0.826731994370426	0.00946872480183369
SLC35E2B	0.603075732066202	0.837198410047384	0.0326659743064717
CDK11A	0.697012047966349	0.877136336096138	-0.0529271756838644
AL031282.2	0.0054700716923819	0.103575171440403	-0.0159248941134019
NADK	0.0273756548985668	0.243332513301453	0.0897644978819278
GNB1	0.410394850651325	0.7368644973544	0.108255982080878
PRKCZ	0.0807386109218007	0.394857517592801	-0.0214222872793418
FAAP20	0.854177410682098	0.939876124149548	0.0525010000466317
SKI	0.0276365797956232	0.244322682599297	-0.0637065875821539
RER1	0.428585506273066	0.750409680331688	-0.115215925198674
PEX10	0.0694986272306814	0.368665097010707	0.0745453475562459
PANK4	0.273384739841673	0.6357701444315	0.000512067503361288
HES5	0.657100957009922	0.859502408478331	-0.140954782983752
AL139246.5	0.758636094384166	0.905277564419948	-0.033290439880045
PRXL2B	0.204689315452241	0.569965939265439	0.0543329635053566
PRDM16-DT	0.24485978576855	0.60864797982707	0.00146119501814218
TPRG1L	0.13219710361349	0.485347370652177	0.0375626046938484
WRAP73	0.927004695286153	0.964106986590291	0.00833298943702879
LRRC47	0.0920448860144138	0.414175269202538	-0.0331633371027777
CEP104	0.609399532559641	0.839600618520677	-0.0588634689996569
DFFB	0.916144770450598	0.961491456690999	0.0051942761476295
C1orf174	0.912958672827916	0.960881706501704	-0.0155672595907661
NPHP4	0.146952852130178	0.503905440544735	-0.0474664538828212
KCNAB2	0.0258491533726936	0.237008791396927	-0.0787283953606524
RPL22	0.07249023251827	0.374343851900901	0.320796938599613
ICMT	0.963389971086717	0.978678226547811	0.00368395769237566
GPR153	0.264800091284608	0.628184608245957	-0.0792953374626057
ACOT7	0.147084398910093	0.503905440544735	-0.0351563840733632
NOL9	0.961289261112956	0.978052289217468	0.0125034511747333
ZBTB48	0.895823561267696	0.95572567272319	0.00620727801835315
PHF13	0.166307188622952	0.526057936972833	-0.0651833273889622
THAP3	0.706746467857747	0.881374720085764	0.0339360185582323
DNAJC11	0.00371277235726088	0.0812618078839195	0.0450458179481661
CAMTA1	0.0741948457425409	0.378980197011147	0.254680021046857
VAMP3	0.908216808833246	0.959794814322343	-0.0233971534342905
PER3	0.0183127354034398	0.199702505388086	-0.170455700433482
