Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.425236898798095	0.510660594397358	-0.0316270050844107
LINC01128	0.506598553381059	0.585898497390424	-0.0238101446938572
LINC00115	0.13037441204101	0.208711848768759	-0.0212273464923426
FAM41C	0.181473619346872	0.267157342464242	0.0297910007418423
NOC2L	0.00255164847873225	0.0116847704802239	0.0363733216507547
KLHL17	0.297054621026508	0.386566658134975	0.0338405234461056
HES4	0.0290319777210373	0.0700317995079103	0.021970249559537
ISG15	0.0749677932193758	0.138138451808726	0.0641996983396711
AGRN	0.389894930522084	0.477746105966822	-0.00739139633233848
SDF4	0.00031822181095511	0.00243816999824013	0.116837384740464
B3GALT6	0.377377613939545	0.465405715343195	0.0369570743870496
UBE2J2	0.225413713038955	0.314841911864679	-0.0701234598781832
SCNN1D	0.338359912038816	0.427385417905684	-0.0403858732766901
ACAP3	9.19606085939035e-05	0.000914588691170475	-0.308277402313181
PUSL1	0.336947212652211	0.426129885898463	0.023846590874216
INTS11	0.0298814260138207	0.0713892519379484	0.0389082329524254
CPTP	6.7299209646168e-07	1.61478437604843e-05	0.105166332417299
DVL1	0.0550169705788355	0.110586970140278	-0.00581781416470042
AURKAIP1	0.011594189045522	0.03536459311013	0.0826464593625686
CCNL2	0.00175134136989557	0.00876603776661255	-0.133515960504739
MRPL20-AS1	0.574520694349377	0.645859834323356	-0.0112126807540381
MRPL20	0.0820372803912369	0.147081812304489	-0.0434060359908893
VWA1	9.79020279819464e-06	0.000153686049838498	0.224529369704056
ATAD3B	0.0736488777619047	0.136345876020334	-0.0370449415487652
ATAD3A	0.786010619404418	0.82442010432722	0.00344568103329654
TMEM240	0.00371032173075406	0.0154025014608087	0.015267177541357
SSU72	0.552430284175521	0.626621255747714	-0.0183596262038933
AL645728.1	0.906230457602849	0.924087215388127	-0.00420193790623889
FNDC10	0.0333644852920375	0.0773648108736764	0.0367468736065785
AL691432.2	0.0507511134883378	0.104312243189678	-0.0126506758167374
MIB2	0.51797584552237	0.596852439038089	0.0172453358324048
CDK11B	0.000921033435884757	0.00540537306701612	0.0295492277148992
SLC35E2B	0.000682319873937019	0.00430210254021312	0.0389990149661632
CDK11A	0.318014080662186	0.407887625197152	0.0335908599037014
AL031282.2	0.0198011064416257	0.0528468109716716	-0.0177263520420897
NADK	0.244217217212302	0.334337504070603	0.038604485743669
GNB1	0.197578082965906	0.285024938254502	0.063829483492838
PRKCZ	1.26228190087706e-05	0.000187720873032969	-0.0707035154363679
FAAP20	7.30091254272033e-05	0.000770000387601411	0.0439192748187576
SKI	0.218038277421844	0.307188997641326	0.00598130273606068
RER1	0.000753729038232373	0.00465854895947974	0.122227077100402
PEX10	0.221252833823607	0.310379147655377	0.0548362174736304
PANK4	0.684929180694964	0.739614507853898	0.0175560473014874
HES5	0.138695901438946	0.21842592447116	0.0225043907274364
AL139246.5	0.17970779484887	0.265229159938278	0.0383675580921709
PRXL2B	0.113323473155094	0.187918476258406	0.0418842182684811
PRDM16-DT	0.589570339456267	0.657813133179188	-0.01906802944729
TPRG1L	0.354083615726618	0.443159419890427	0.0203493835068244
WRAP73	0.0596813349457284	0.117148646523132	0.030193316906489
LRRC47	0.161269228259494	0.245064213603733	0.0062761507302061
CEP104	0.294904288138192	0.384423745440468	-0.0200257175791236
