Gene	hurdle.Pr(>Chisq)	FDR	logFC
LINC01409	0.00179598737768364	0.00295452503281927	0.0208394406421273
LINC01128	0.00779300819419604	0.0108289918165566	-0.0200248181309185
LINC00115	0.10098303958318	0.11196603381111	-0.000637735337620599
FAM41C	0.0684028626118368	0.0780386885640694	-0.00587489737170986
NOC2L	1.30019169097163e-10	1.20859035404109e-09	-0.0753205129658288
KLHL17	0.00792649862452154	0.0109882324292034	-0.0208336375009882
HES4	0.00012033328614358	0.00027345419476722	0.0698703247182364
ISG15	0.00556633698576398	0.0079931421054833	0.0473415988221793
AGRN	1.02061365283671e-06	4.10429849920802e-06	-0.0630217276764095
SDF4	1.48835375783599e-07	7.34051711528154e-07	-0.0379728396161421
B3GALT6	1.81055994263267e-05	5.15800526694023e-05	0.0162164488563972
UBE2J2	6.61397389119802e-07	2.77677769450675e-06	-0.0606230069529916
SCNN1D	1.25098463466776e-12	1.60317684608577e-11	-0.0892794209514072
ACAP3	1.76593284520992e-56	7.18911261284957e-54	-0.432033424726374
PUSL1	0.0118492074483468	0.0157264041041795	-0.0044198918507395
INTS11	8.19256148433624e-09	5.43485895753386e-08	-0.099864770346574
CPTP	0.384506647697702	0.395484225057439	0.00132747795098792
DVL1	3.8969080072155e-05	0.000101218497431142	-0.0384795590958564
AURKAIP1	1.06421437374364e-07	5.46102947333241e-07	0.142047145383661
CCNL2	4.56006725259595e-15	8.23847653194592e-14	-0.168158783426258
MRPL20-AS1	0.225819865013845	0.237773774585231	-0.00405748636830278
MRPL20	0.000385319127227756	0.000758527160031041	0.106332185019496
VWA1	1.47239802685799e-05	4.30922528205527e-05	0.00495410435806765
ATAD3B	8.60607876468454e-12	9.88768014610464e-11	-0.0640416815606314
ATAD3A	1.61591163994346e-08	1.01050326977109e-07	-0.0666908087546316
TMEM240	1.29180679972408e-07	6.46856762813864e-07	0.0240163574689727
SSU72	3.4431448847496e-05	9.09559504351735e-05	0.0702387451314597
AL645728.1	0.00282830380123805	0.00439914344428429	0.0145265350761785
FNDC10	0.00468334196689626	0.00685001861577293	-0.0104005709402571
AL691432.2	0.232695639943448	0.244591776454887	0.00823956195570488
MIB2	9.34071662723253e-12	1.06615114176066e-10	-0.0858626705155131
CDK11B	1.15884558360142e-07	5.88481543140296e-07	-0.0649326356571615
SLC35E2B	4.64143962759782e-11	4.63878086512702e-10	-0.124983537079969
CDK11A	7.41345415895413e-08	3.95118560179554e-07	-0.0589211817785223
AL031282.2	0.132273928286871	0.144031872875139	-0.0144430729255258
NADK	0.00020039191207778	0.000426745670829281	-0.0336800873745373
GNB1	0.000486500302067032	0.000930997835967512	0.0651721241654794
PRKCZ	0.00189337114591225	0.00309596221783723	0.00677994644053091
FAAP20	2.04425802102565e-07	9.7335373141467e-07	-0.0138089248076337
SKI	0.00137495781302856	0.00233292022374518	-0.00904651033793963
RER1	2.33716954764776e-06	8.50785445169064e-06	0.0146222137581189
PEX10	2.66746405036936e-07	1.22981270091208e-06	-0.0541748959827085
PANK4	2.05827291114018e-05	5.75892028952004e-05	-0.0379387920639833
HES5	4.53586225241365e-34	5.17724165315214e-32	0.516057396089434
AL139246.5	6.81057011762869e-06	2.17514364138596e-05	0.0636821406905463
PRXL2B	0.0388259223638622	0.0463792047955642	-0.0175238139732781
PRDM16-DT	2.02249314936704e-05	5.66400110828243e-05	0.0329659417571283
TPRG1L	0.0221270749937037	0.0277391375321317	-0.00737271186830291
WRAP73	0.000131380010415635	0.000294411755450669	-0.03805758590885
LRRC47	6.41947272838526e-05	0.000157748532055874	-0.0176345093433531
CEP104	2.58744447365786e-10	2.27341434221464e-09	-0.0866715131987264
DFFB	0.164965884550601	0.176870191205029	-0.0141501991025577
C1orf174	0.0278137340711291	0.0341396114784623	-0.0228673229966027
NPHP4	0.00950144603990094	0.0129092402364345	-0.0221738434865801
KCNAB2	0.858427646770238	0.860824111175377	0.00290922478813996
RPL22	1.90878687120989e-14	3.21989144448707e-13	0.297123220376135
ICMT	0.0139543017637848	0.018217142112646	0.0120700140014551
GPR153	0.492251660559722	0.501323343096722	-0.0121897502570405
ACOT7	8.54897202875534e-14	1.31331566524766e-12	-0.0997427301987452
NOL9	9.4820423814663e-09	6.20601198311082e-08	-0.0323738905062065
ZBTB48	7.71119489957596e-06	2.42723771413714e-05	-0.0422579377289327
PHF13	0.000563381131882324	0.00106046937398708	0.0238940110515969
THAP3	0.000278764752887968	0.000570468151310447	-0.00365042890530543
DNAJC11	0.0043688688814811	0.00644019259499441	-0.0124099514859037
CAMTA1	0.407907675466514	0.418285175522463	-0.00610858675372905
VAMP3	5.02286225037419e-06	1.66741551138407e-05	0.0522014823156879
PER3	0.00181159239393538	0.00297658790624684	-0.0306870991532968
PARK7	5.03939844254106e-27	3.34490071623663e-25	0.37994815575307
ERRFI1	0.0879640060332756	0.0985600372187518	-0.012219204040762
RERE	3.2480085226234e-18	8.64225012784305e-17	-0.199506695101837
ENO1	1.49945589894756e-11	1.64535982873733e-10	0.0353102955730302
H6PD	3.37999223199391e-05	8.95635607058834e-05	-0.0260753111126118
SPSB1	0.000333969084395909	0.000669088652842395	-0.00578282319214418
SLC25A33	0.00611231987591131	0.00869233379651897	0.0380385211020636
TMEM201	2.1787086922181e-05	6.06117750753068e-05	-0.0243410552615513
CLSTN1	2.39535625391796e-11	2.51543301196046e-10	0.104826048499913
CTNNBIP1	0.00288190012949727	0.00447225492777003	-0.00194336254611979
LZIC	0.0114873796282415	0.0152910482179525	0.035074505064821
NMNAT1	0.0378685046588836	0.0453241912386266	0.00154249740845794
RBP7	4.60437095562355e-10	3.85310047183763e-09	0.0498944022178127
UBE4B	0.000170431023022316	0.000369711205003826	-0.0569803879240852
KIF1B	4.26659477301612e-08	2.40905788085279e-07	-0.154841276390592
PGD	0.0214634252521338	0.0269711711703169	-0.0369913309454959
DFFA	0.165242156385058	0.177150847606278	0.00941025018197064
PEX14	0.00320105642814989	0.00489599275604191	3.39792016572915e-05
TARDBP	0.000325692145319924	0.000653961690863094	-0.0517260920493228
SRM	2.12425031147168e-07	1.00712224588524e-06	-0.0247603646881901
EXOSC10	3.80897284120557e-15	6.97436061613847e-14	-0.14203037024045
MTOR	6.55413219326422e-14	1.02099000607571e-12	-0.0691981345931465
UBIAD1	0.143391683743898	0.155293307933336	-0.00251886462107251
DISP3	3.37857012534616e-05	8.95453058612252e-05	-0.0112902432050758
FBXO2	1.50038002518266e-06	5.78331414253333e-06	0.0756129385964565
FBXO44	3.06576400260371e-07	1.39866177675753e-06	-0.0687784438015407
FBXO6	0.0137640680509311	0.017995992196341	-0.0225923191333597
MAD2L2	0.000786126797266448	0.00141963131376832	0.00795807682766492
DRAXIN	0.550354718564841	0.558448170308441	0.00586093584586998
AGTRAP	0.144600302751857	0.156477361111858	-0.00330552201598473
MTHFR	1.03888790775906e-10	9.88927359116243e-10	-0.0610938186051017
CLCN6	1.18569978232259e-05	3.55360771570696e-05	-0.0344391483016781
AL021155.4	0.00478363939785276	0.00698132064160371	0.0040978326082326
KIAA2013	3.33400766111351e-05	8.85030639159577e-05	-0.0151518158131909
PLOD1	0.0623592789518044	0.0715649195488055	-0.0011452680557922
MFN2	0.00966412391274535	0.0131011150345609	-0.0204176273675727
MIIP	0.000433543380098752	0.000841523410862373	-0.0121842185769801
VPS13D	4.10214036684025e-14	6.6269100926217e-13	-0.0971528357771604
PDPN	6.04048535667578e-06	1.96464574330443e-05	0.0409253697791828
PRDM2	0.000124236661095165	0.000280670059555171	-0.00367084699769588
KAZN	1.86539833676713e-05	5.28587236355846e-05	-0.116958430517779
AL031293.1	0.00948662508410657	0.0128919719764319	0.0166333833475554
