Gene	PVal	FDR	Log2FC
MTRNR2L12	4.69189248850168e-57	5.7302082962071e-53	1.8713338782541
MT-CO2	2.20562338630722e-21	1.3468639208485e-17	0.746125587506695
MT-CO1	2.62902660930775e-17	4.58690028278221e-14	0.718739081889335
RPL18	1.7596165944109e-16	2.68627468344254e-13	-0.820478553569687
RPL3	5.52450035994346e-16	7.49674698844327e-13	-0.873565708243006
CLPB	7.51739493301505e-16	8.3463585742648e-13	-0.265931103340333
S100B	3.62974255258314e-15	3.41000352266907e-12	-0.852268811021832
CALM1	1.07024950384886e-13	7.68879834735656e-11	-0.725040227736404
HPS6	1.19196602035543e-13	8.08748944811162e-11	-0.163004395925483
CHID1	2.01067732325235e-13	1.22782010744405e-10	-0.785698997476592
EID1	3.31673337918912e-13	1.8412393072744e-10	-0.713877237107221
BEX3	1.07874354652568e-12	5.06719035912235e-10	-0.807218029428153
METRN	1.37854374689479e-12	5.61205159360869e-10	-0.727032260050097
RPS24	3.57346016175534e-12	1.36383340485994e-09	-0.72590480997061
H2AZ1	7.39383553381739e-12	2.6559092168974e-09	-1.08143018736451
VDAC2	9.34573469671227e-12	3.26112736716991e-09	-0.873501627985043
FGF2	1.4042991361789e-11	4.51334351319813e-09	-0.157871463229354
FABP7	1.40140821312707e-11	4.51334351319813e-09	-0.858858528524721
PPIA	1.79438274361471e-11	5.61917857635038e-09	-0.725838143490578
GRPEL1	3.06935231713977e-11	8.74024319408261e-09	-0.352113862212218
PTMA	4.68996948732917e-11	1.14557194697502e-08	-0.727539895680686
EXOC2	4.98268588015955e-11	1.17203598807662e-08	-0.424668758344709
EIF1	4.99024575288499e-11	1.17203598807662e-08	-0.601910039621789
PORCN	5.284799315245e-11	1.21779724598278e-08	-0.180889454985185
H3-3A	5.43601830445267e-11	1.22944613985705e-08	-0.619040937680856
GNAS	8.44575240479478e-11	1.71913290199598e-08	-0.620166924741463
OAZ1	8.3611925718044e-11	1.71913290199598e-08	-0.894800409817829
SNN	1.76741411051454e-10	3.17432772525207e-08	-0.283287456292994
CYB5B	2.22876671454934e-10	3.83379265982973e-08	-0.210866867119703
RNF175	2.29985000004121e-10	3.90112056256991e-08	-0.337552067359335
ANAPC11	2.41973506921614e-10	3.99354383788334e-08	-1.00078207780019
MT-ND3	3.19901397273476e-10	5.20927435320128e-08	0.678672424131971
RNF34	3.3145363669618e-10	5.32637271706637e-08	-0.328320816095764
MIR9-1HG	3.97053854470931e-10	6.29768665539413e-08	-0.649791819547247
RPL15	5.60007093513676e-10	8.29654699347737e-08	-0.660501371803787
SRP14	5.63836404207502e-10	8.29654699347737e-08	-0.57142717249127
RSL1D1	5.86008934901797e-10	8.52015133566149e-08	-0.828339810102999
VAPA	6.57285918451011e-10	9.33422432795605e-08	-0.835049674298441
RPS14	7.94198075798512e-10	1.06588363733266e-07	-0.835105050192776
RPL41	7.92376000522669e-10	1.06588363733266e-07	-0.770822857525224
TUSC2	1.10771226566984e-09	1.39899983184439e-07	-0.435989673404429
RPS7	1.15193903974682e-09	1.43557464208448e-07	-0.554578752136323
RPS23	1.26906835538406e-09	1.53083414623716e-07	-0.599248072683777
MT-ND4	1.278515376371e-09	1.53083414623716e-07	0.560236833350469
XIAP	1.57891959589991e-09	1.78549490969681e-07	-0.356972636070901
STX2	1.5669014747385e-09	1.78549490969681e-07	-0.263179206493339
UBE2H	1.85159886228276e-09	2.07464008303297e-07	-0.654098860660186
SPATA2L	2.12070045524666e-09	2.31251023749353e-07	-0.174022731581643
