Gene	PVal	FDR	Log2FC
MT-CO2	2.68505095840978e-84	3.27925273550586e-80	1.26446773665581
MT-ATP6	1.51833701446729e-67	9.2717249788445e-64	1.37298580185908
MT-CO1	2.2754131953469e-51	9.26320711825723e-48	1.05241723132592
GPM6B	4.62053884237071e-51	1.41076602204684e-47	-0.958799256070576
OLIG1	3.58269195121015e-46	8.75108336002592e-43	-1.03346322818561
APOD	6.93628046924112e-46	1.41187988951403e-42	-1.20245427322812
MT-ND3	7.22333718757563e-45	1.26026595816945e-41	1.20996522209693
CPE	7.77217784884593e-44	1.18652010084944e-40	-1.00606088123804
BCAN	1.44341764683294e-43	1.9587177467523e-40	-0.977662603256412
ITM2B	1.80014522844867e-43	2.19851736750436e-40	-0.816053963568727
MT-CO3	2.78990302134722e-40	3.0975532363376e-37	1.06540604263832
TMEM59	3.19280878762508e-38	3.24948114360542e-35	-1.06777808001076
SCG3	2.61043323679882e-36	2.45240162469415e-33	-1.03050082286233
CD81	1.17667027228138e-35	1.02647671681232e-32	-0.896386938010284
PCSK1N	2.21497556426617e-35	1.80343310442551e-32	-1.01047472625174
PGRMC1	6.27551280906225e-35	4.79017737106733e-32	-0.94149336921578
CALM1	1.822858006108e-33	1.3095626369763e-30	-0.922476133273224
GPM6A	1.40159332821703e-31	9.50981073195257e-29	-0.715854069344486
NKAIN4	5.65300382718906e-31	3.63369135481368e-28	-1.09305447483181
SPARCL1	1.7759968284607e-30	1.08451246329952e-27	-1.43635404878421
FTH1	8.06208497086888e-30	4.68867827377246e-27	-0.80120950928054
MTRNR2L12	1.33353264051006e-29	7.40292460843151e-27	1.02084750236626
NDUFA4	2.53999745162007e-29	1.34873864681026e-26	-0.928998557043978
THY1	1.3700497171968e-28	6.97184049838523e-26	-1.14316083190004
S100B	1.7606897725803e-28	8.6013216770093e-26	-0.978793235880764
PEBP1	2.91299600017023e-28	1.36832385192611e-25	-0.971708324704349
MT-ND4	3.60924393833853e-28	1.6325813414418e-25	0.830078031895909
EID1	5.14619610031187e-28	2.24466046332532e-25	-0.873041724555249
SERPINE2	2.50817480321987e-27	1.05628754730084e-24	-0.823407971241802
EMC7	4.90000281172322e-27	1.93044304321212e-24	-1.1488651341049
EIF1	4.77110897986757e-27	1.93044304321212e-24	-0.812508618644961
PTN	2.19474278723893e-26	8.37637301892158e-24	-0.784792909233737
PPIB	2.36915547205932e-26	8.76802902432136e-24	-0.874257277645215
ITM2C	3.39280507196115e-26	1.21871553952534e-23	-0.905251906821305
NANS	6.96152055498759e-26	2.4291728725161e-23	-0.256731129997159
MEG3	2.09322024883395e-25	7.10124969416916e-23	1.57463751039425
SCRG1	3.12534128804328e-25	1.00446824081244e-22	-0.786220087219562
TMSB4X	3.110795658056e-25	1.00446824081244e-22	-0.685609883819009
CD63	6.17192629355021e-25	1.9327624570033e-22	-0.877117463867433
SEC11C	1.36561193131549e-24	4.16955462928903e-22	-1.03770967184687
MARCKSL1	1.86258006064576e-24	5.54821714162601e-22	-0.878274100170376
H3-3B	1.65017855061875e-23	4.79848348540638e-21	-0.752005902162938
B2M	2.00113898678536e-23	5.68370010363015e-21	-0.842855745761824
TSC22D1	2.31265097314117e-23	6.41918325794843e-21	-0.882951222306321
HPS6	2.88204077327357e-23	7.82185865866447e-21	-0.157678106374118
CLPB	5.17314183374366e-23	1.37346915685894e-20	-0.26157293465637
RAMP1	5.52130940572125e-23	1.43313097841427e-20	-1.18131161511623
CHID1	5.63254621828255e-23	1.43313097841427e-20	-0.880310755836027
NDUFC2	6.82405338578507e-23	1.67832676443316e-20	-1.02211551320526
METRN	6.87106675031998e-23	1.67832676443316e-20	-0.772398927087906
PRDX1	1.10501796364189e-22	2.59530469037661e-20	-0.886845987645789
SCD5	1.4122027498944e-22	3.25419475178497e-20	-1.00816059760296
CALR	2.66298441335482e-22	5.91327793460043e-20	-1.04780373987026
PCMT1	2.88000813954754e-22	6.28098918005252e-20	-0.993890349846395
LRP1	4.88952515826654e-22	1.04764510101595e-19	-0.793646119983801
HSP90B1	6.01297991567103e-22	1.2661469605188e-19	-0.867635168245493
CSPG5	8.77958219679874e-22	1.81737351473734e-19	-0.73205792849582
PACC1	1.01252288570505e-21	2.06099033385263e-19	-0.951355331250438
RPL18	1.23245393445231e-21	2.4675344100764e-19	-0.731315496292879
