Gene	PVal	FDR	Log2FC
MEG3	1.10045783147555e-303	6.71994574790542e-300	1.57463751039425
FIBIN	5.35463835944067e-155	1.63490495709622e-151	0.589763601303312
MT-CYB	5.55900391390628e-131	1.35784229601075e-127	0.580889667349236
CASK	6.47490324285912e-119	1.31796655508397e-115	0.656646128641419
MT-ATP6	7.0890991467028e-114	1.23684525540973e-110	0.574590224080259
MT-CO3	2.54646951737675e-111	3.88750402696527e-108	0.538960846202345
EDIL3	6.81622671258134e-111	9.24961964897287e-108	-0.715654037002728
PTGDS	3.2442841573515e-99	3.96224424137338e-96	-1.00160086626907
RPS4X	2.12394730071374e-97	2.35816076214699e-94	0.783016893735897
MT3	1.6338229937779e-87	1.66282335191746e-84	-0.759931417398462
ARMCX6	1.18564758472329e-78	1.11387030401735e-75	0.301885776420765
CHCHD2	1.22577213051868e-72	1.06931107357319e-69	0.683966643405189
GRID2	3.77810981807159e-70	3.07613701387389e-67	-0.628854522525452
ZNF528-AS1	1.66096565512884e-65	1.26783584663053e-62	-0.36816522552629
LY6H	1.83456423824789e-65	1.31797253186597e-62	-0.688932861625513
MAGEH1	9.61635894053219e-63	6.52469954115109e-60	0.620955565712385
BCAS1	1.35605498668996e-62	8.71657871181286e-60	-0.654488184308872
ARPP21	1.86937787101944e-61	1.14153559693802e-58	-0.583314045243857
MEG8	1.06122920025439e-58	6.17180582033658e-56	0.279583990709965
RARRES2	2.96249260078799e-56	1.64458736970108e-53	-0.486958435764086
CMYA5	2.81502571629422e-55	1.49477865535223e-52	-0.438845577305544
APOD	2.2288672644816e-53	1.13421482921308e-50	-0.619632787406105
CTSF	1.88481547692837e-52	9.20770056789049e-50	-0.44475054617819
AC069277.1	9.455388888469e-51	4.44148709595661e-48	-0.269013872481719
PLS3	1.64014622357474e-49	7.41892808463641e-47	0.280763482600479
MAP3K13	5.72486089707405e-49	2.49706164771305e-46	0.385970822188114
PMP2	2.64063214150121e-47	1.11207035669497e-44	0.599814474256205
RPL37A	1.47686096190601e-45	6.01230097591935e-43	0.470247073744982
MAP2	3.16215367750891e-45	1.24578654398117e-42	0.382757220108623
FAM89A	6.53327263118782e-45	2.49346433264678e-42	-0.325190031837364
IGFBP2	4.02798170647592e-44	1.49071941155123e-41	0.680162105057094
GOLGA8A	1.33343404150696e-42	4.78977351438954e-40	-0.457826157527781
PCDHGB6	7.62858063517825e-42	2.66193872278377e-39	0.64856969243615
SELENOM	4.85157266304263e-41	1.64589602593721e-38	-0.436046284295865
XIST	1.3885710982815e-40	4.58341049278701e-38	-0.374802194065989
DOCK9	1.58957471331972e-39	5.10880946678257e-37	-0.331701778637854
RPGR	6.61430810898777e-39	2.07129602397609e-36	0.273543214486513
RAB9A	8.2427604013806e-39	2.51672081955153e-36	-0.433598947434205
PCDHGC3	3.17785332417752e-37	9.46612747516587e-35	-0.384093205550455
