Gene	PVal	FDR	Log2FC
PLCG2	2.80062306493762e-127	3.42040094920832e-123	0.991724863869713
MT-ATP6	7.47509665773405e-110	4.56466777404529e-106	-0.624910743238676
GPM6A	2.9517300341566e-94	1.20164929690515e-90	0.495272208910229
PTPRZ1	1.84487268043327e-86	5.63285751153288e-83	0.470401584402375
DNAJB1	2.76486924552141e-82	6.7534696191106e-79	-0.870804436663164
MT-CO3	6.75949322902789e-81	1.37589484676863e-77	-0.503375287686048
HSP90AA1	4.61022378997887e-79	7.05172433601367e-76	-0.604243515138437
MT-CYB	4.61915947663222e-79	7.05172433601367e-76	-0.483377066282301
SCRG1	4.27928239111016e-74	5.80698620473648e-71	0.523306834727211
MT-CO2	3.75115546880342e-73	4.58128617404961e-70	-0.446853969257785
HSPA1B	6.70877755826671e-73	7.44857275628285e-70	-0.893703513475165
MT-CO1	4.18038365076938e-71	4.25458546057054e-68	-0.455465466914564
MT-ND4	4.07976614382037e-67	3.83278337803678e-64	-0.455797304280922
ITM2B	2.93118354378849e-62	2.5570389014492e-59	0.396623376796441
PTN	1.06742978808939e-61	8.69101333462381e-59	0.434488686991408
AL627171.2	1.5847075893767e-59	1.2096271118161e-56	0.637969435432484
GPM6B	5.73662272066301e-56	3.89229851596985e-53	0.390513778855288
CD63	1.63101728338881e-54	1.04840074115934e-51	0.386314471529392
FABP7	1.39611413178277e-51	8.52537094573149e-49	0.573756151260126
APOD	2.68060890750174e-51	1.55896555177708e-48	0.414069283326454
SCG3	5.05369631321306e-51	2.8054905942396e-48	0.397266911079613
PDGFRA	6.35686895088475e-51	3.3754974129198e-48	0.404174682100488
PCDHGB6	4.2670479460845e-50	2.17139402356375e-47	0.651785650699891
PCSK1N	1.46302227428543e-49	7.14715641433917e-47	0.284991031090744
CD81	7.73472282294994e-46	3.63323730141106e-43	0.339159942954725
PGRMC1	1.01670055632126e-44	4.59887551642649e-42	0.304591637313917
CPE	2.91594537249773e-44	1.27187288693981e-41	0.199643354076884
DBI	1.26755093842261e-43	5.33813779688113e-41	0.546736442783862
H4C3	2.34257359724916e-41	9.53661711440135e-39	0.77899993912327
RAMP1	3.33240723813837e-41	1.31286095481884e-38	0.607691687297402
PPIB	6.11410658622596e-40	2.3334869917993e-37	0.366976734433713
NDUFC2	1.89227732800811e-39	7.00314636574639e-37	0.471786134216737
OLIG1	3.16998257838251e-39	1.13867638911134e-36	0.366232921626329
ITM2C	4.550941020733e-39	1.5880183624632e-36	0.252525651249695
MALAT1	5.8900400193833e-39	1.99819607657578e-36	-0.468765694501418
HSPH1	4.86920437390722e-38	1.60723224374402e-35	-0.454804584251814
NDUFA4	1.56434388133866e-37	5.02771890073395e-35	0.396601521993642
H2AC20	2.56047657994677e-36	8.01823088997175e-34	0.358943633310641
SRSF11	8.52359897129712e-36	2.60246785591129e-33	-0.469236964210838
H4C5	1.46133645258593e-35	4.35300051108098e-33	0.321320484267822
CNTN1	3.82572386456577e-35	1.11246584661766e-32	0.374441120267001
