Gene	PVal	FDR	Log2FC
FIBIN	0	0	0.62156891817186
MEG3	0	0	1.19615964056561
MAGEH1	7.07487130640591e-293	1.72810806530271e-289	1.0122915150935
CASK	5.51920627057482e-275	1.1234344363755e-271	0.892528792581643
RPS4X	1.75181479914561e-263	3.05641630599505e-260	0.842805033679177
PTGDS	1.5356264897694e-226	2.34432578994422e-223	-1.29885784363455
CHCHD2	1.61750143272281e-198	2.19494944420486e-195	0.715548169535023
ZNF528-AS1	1.55568899607954e-183	1.89996297091194e-180	-0.614938863911851
MT3	2.12698038558737e-183	2.36152831356168e-180	-0.845891161600273
RARRES2	4.83996711476754e-172	4.92587653105466e-169	-0.730233366266956
ARMCX6	6.79588492488731e-164	6.38447250674221e-161	0.27003062685539
SYT1	1.64813546185276e-145	1.43776274254341e-142	0.391646324033161
IGFBP2	1.49783101679206e-141	1.21953401387209e-138	0.926648318007791
APOE	1.01278429322332e-126	7.73070910821023e-124	-1.2982205329115
RAB9A	7.70792529297789e-126	5.53746421194935e-123	-0.719912822585433
LY6H	9.59080614544207e-124	6.50736196968245e-121	-0.829843342264258
MAP3K13	3.2875109468817e-120	2.11317743127717e-117	0.453972400944304
PDGFRA	1.69837224226068e-112	1.03711100973648e-109	0.495714381822703
SELENOM	3.70383850334732e-108	2.15404664958956e-105	-0.61704108560417
PLS3	3.69039411958357e-102	2.04867197193064e-99	0.2747734966988
TCEAL6	1.49255034681347e-101	7.92544234157951e-99	-0.385018314069193
PPP1R14A	2.31323932986509e-98	1.1771496639851e-95	-0.433624998421422
AC069277.1	1.18989637375915e-96	5.8128817650882e-94	-0.285321981117783
GATM	1.90567526783527e-93	8.95154309464314e-91	-0.53034177353258
TMEM176B	6.98721293392646e-89	3.16054931711274e-86	-0.339001641448695
CTSF	9.94013664656445e-81	4.33567460230327e-78	-0.414448198536551
MAP2	4.58149096930134e-79	1.92943962786473e-76	0.454259498342526
MORF4L2	1.26401692290336e-69	4.97981892884476e-67	-0.547480600415742
CLDN10	1.24958400155264e-69	4.97981892884476e-67	-0.347425689820063
GRB14	4.81756804790395e-65	1.83865495528284e-62	0.545504511871358
JUND	4.03779323645614e-63	1.49435056960118e-60	-0.504783412136099
EDIL3	2.19939995474326e-62	7.67464904207983e-60	-0.271170735328389
ZNF528	2.18426997447385e-62	7.67464904207983e-60	-0.239877392844381
MEG8	1.61372895481109e-61	5.47457547919663e-59	0.174113183022329
SEMA3E	3.37231750114332e-61	1.08384509582798e-58	-0.310551212695559
DNAJC15	9.07359208053706e-60	2.84143025845126e-57	0.25202218838954
ZNF506	4.09075929166018e-59	1.24901108072615e-56	-0.357655085890293
CD9	3.11737191564892e-58	9.28596663556591e-56	-0.514055512760788
FAM133A	7.04186056830878e-58	2.04767245525607e-55	-0.229727026446467
SMS	5.6909803776372e-55	1.61637077562984e-52	0.426513668159488
TSPAN6	1.10484446026802e-54	3.06669668028485e-52	0.404167722822491
HSD17B12	1.63359021028814e-53	4.433563830722e-51	-0.461237717264183
RPS19	1.9164235845509e-53	5.08810461698264e-51	0.377654173759349
RPS29	3.82126528093342e-53	9.92959848426381e-51	0.346901689781696
RPS27	5.83184617485336e-53	1.48384036111425e-50	0.37628456930356
CNTN1	7.79957420783826e-53	1.94400407755773e-50	0.377822010316906
JUN	9.83706569961755e-53	2.40280166778858e-50	-0.583925856858508
FTL	1.06555018785935e-52	2.55167930280906e-50	-0.312059353262239
ANKRD35	1.50161626912471e-52	3.52677682592695e-50	-0.22632104014487
BHLHE41	6.68041643194135e-52	1.53939482798679e-49	-0.294665471934245
ALDOC	2.00253394920651e-51	4.52906428178873e-49	-0.302338891753233
TMEM255A	2.63096156525495e-51	5.84216974481067e-49	0.317362442981223
LIMA1	1.21241110760932e-50	2.64413872450583e-48	0.329086145176637
PHF6	1.26272998827327e-50	2.70556514855815e-48	0.439128520826241
RPL39	2.25975498513602e-50	4.75834269542522e-48	0.36420693837819
ZNF680	7.61176318572894e-50	1.54937439645513e-47	-0.175371504119391
HBD	8.25228136240839e-49	1.65221495539498e-46	-0.37239335665141
MIR9-1HG	2.71656701761329e-48	5.35119886872759e-46	0.332249975475963
TMSB10	8.07709492476224e-48	1.56580254470034e-45	0.52552338921099
SPARCL1	2.68502609900609e-47	5.12378496049396e-45	-0.497367616061147
TF	1.17780659378555e-46	2.21300798921583e-44	0.181354404708248
APOD	2.55601029658859e-46	4.65918712719947e-44	-0.299581810132605
NEU4	4.2960689733909e-45	7.71586623117987e-43	-0.493212869967369
FBXO2	7.13949260402936e-45	1.24563747390015e-42	-0.220371458496401
AC087855.1	2.76129390349919e-43	4.6838447838105e-41	-0.155283124910702
PCSK1N	3.09778756880419e-43	5.18264103805556e-41	-0.206374216595078
DIAPH1	3.29040182244001e-43	5.4304969537108e-41	0.33982804745786
RPL37	6.50316128415431e-43	1.05897478351169e-40	0.306327821572265
PCDHGB6	3.77330780971786e-42	6.06360635264266e-40	0.262927311667389
CMYA5	4.98829019434064e-42	7.91194651214055e-40	-0.242708947264539
SAT1	6.50422890506011e-42	1.0184121489423e-39	0.392590845121961
FOS	1.01153526996035e-41	1.563782310383e-39	-0.579044181561134
PCDHB10	1.89851714684041e-41	2.89832373929523e-39	0.172158511842096
B2M	3.28694774840389e-41	4.95598677176009e-39	-0.322864378026328
COMT	4.24511325994733e-41	6.32263027362643e-39	0.340237608388757
RPS15A	4.74273043034405e-41	6.97867069226408e-39	0.289514927768275
RPGR	1.90238395540071e-40	2.76593038658438e-38	0.178813964140904
TSHZ2	2.48333859148484e-40	3.56811931974169e-38	0.168043346183949
HSPA1A	5.02495526435951e-40	7.13602077251426e-38	-0.35606386182388
GPM6B	7.83345596095018e-40	1.09965514541477e-37	0.265421114345306
RPS2	1.90497978579446e-39	2.64380887771679e-37	0.313191518605876
TCEAL7	4.86568609057432e-39	6.67692407013306e-37	-0.455150696359677
PTPRZ1	1.06426986513136e-38	1.43836706802958e-36	0.244571861277868
FUNDC1	1.83820899101593e-38	2.44022243557364e-36	0.268817302807085
RPL37A	1.8811014908928e-38	2.47031102239503e-36	0.296198518354149
S100A6	3.62911831109004e-38	4.71515126950454e-36	-0.260956828120169
BCAS1	4.61060468648062e-38	5.92729631957766e-36	-0.356573047642727
PEG10	2.06471168087126e-37	2.61840975697612e-35	0.409539818691889
RPRM	3.65618095317208e-37	4.55642224296843e-35	-0.318412090015856
PEBP1	7.37272213556421e-37	9.09525812541876e-35	-0.236171705015273
RPL27A	2.54674514083398e-36	3.11033984050054e-34	0.305734014743067
RTN1	2.2007582305652e-35	2.63508434018557e-33	-0.342517459957362
NES	2.97207185427108e-35	3.49018399578968e-33	0.249245610698386
PCDHB14	4.47053925680686e-35	5.19987580413164e-33	0.185504247888548
DCX	1.37183605522813e-34	1.58058808891521e-32	0.391232931478232
JUNB	1.94661085962195e-34	2.22186527369746e-32	-0.436408938178941
FOSB	2.3662454054943e-34	2.67582917937981e-32	-0.47598902608284
RBMX2	1.00073043972351e-33	1.12127714315075e-31	0.286798473905583
ANXA2R	2.04000191758331e-33	2.26495849267682e-31	-0.162063746686635
RPL18A	3.04159596347068e-33	3.34657761278085e-31	0.283809456282889
RPL34	2.43487595705349e-32	2.63160531535348e-30	0.265694411562403
LDOC1	2.76866395400792e-32	2.96611340967533e-30	0.219298046616312
MCTS1	3.01462075009146e-32	3.20152723659714e-30	0.294022738936254
LINC01322	3.34036915841174e-32	3.5168903906623e-30	-0.28069273036375
CD99L2	1.10799303867333e-31	1.1467727950269e-29	0.22433663330105
RPL32	1.6492610955985e-31	1.69264082021382e-29	0.295137680078163
LINC02328	1.86650182795931e-31	1.89963223540559e-29	-0.181381287942695
RPL6	2.6489523633005e-31	2.67369051347017e-29	0.251421653204734
RPS8	3.12825728059773e-31	3.13159066950328e-29	0.270671260233941
EEF1A2	3.25725536808742e-31	3.23421624475217e-29	-0.356312323546609
GPR82	4.02860912199368e-31	3.96785509733136e-29	0.195646984067009
NKAIN3	2.0189311570892e-30	1.97257649772244e-28	0.371474831846373
DPPA4	4.34084674721811e-30	4.17439065541533e-28	-0.239344075695517
SLC9A7	6.04417302113912e-30	5.76699102399782e-28	0.264223727424638
DNAJC12	1.33898573610168e-29	1.25792559961614e-27	-0.190639565225767
TM4SF1	7.00095098698365e-29	6.42876800030311e-27	0.257480625441573
HTRA1	2.11308885640189e-28	1.92590703009226e-26	-0.333450303028195
FERMT1	7.7825622521839e-28	6.93784180919139e-26	-0.382490896609927
COL20A1	9.65235735491221e-28	8.54233625909731e-26	0.370986466045367
CHCHD10	1.18548195943041e-27	1.04160368133264e-25	-0.308939787535446
CCND2	1.19411296069543e-27	1.04169297064095e-25	0.329587160108542
STXBP6	2.81509601852964e-27	2.40424948771346e-25	-0.192805255042862
RPS18	7.88808576119087e-27	6.64394423458097e-25	0.27686772692973
UBQLN2	1.20316502953655e-26	1.00645578806369e-24	0.230923881500039
MMGT1	1.47807815767112e-26	1.21971409051604e-24	0.233079669214414
WFDC1	1.8278471517704e-26	1.48823315097146e-24	-0.176397722338359
CAMK2N1	1.90884874003959e-26	1.54389203060288e-24	-0.354026953511769
CAT	2.09035557546754e-26	1.67957320020954e-24	-0.218693323334933
LNX1	5.57330464631159e-26	4.41992010684438e-24	0.348206440353137
CUL4B	8.21410222868705e-26	6.43069426403557e-24	0.228764259467889
BEX2	3.03403377274311e-25	2.3601690743001e-23	-0.267910972411502
FAM89A	4.89927857478534e-25	3.78701830594009e-23	-0.153205766873835
RPL11	6.91698155224054e-25	5.31302488663608e-23	0.240898854983738
RPS27A	1.99546561925698e-24	1.52316385049909e-22	0.242106973850705
SCG2	4.23809193677801e-24	3.18738143158125e-22	-0.280713492444524
DMD	4.25401763160357e-24	3.18738143158125e-22	0.234897873769966
SNHG29	7.25341614289518e-24	5.3688467486775e-22	0.277697187650273
ZNF493	1.4597890351833e-23	1.06121449325557e-21	-0.200660479617309
COTL1	1.5393113633161e-23	1.1124029396556e-21	0.32196257318943
AC008875.3	1.57492095514827e-23	1.13144174266034e-21	-0.177173163691377
RPL22	1.66509755778396e-23	1.18923020311202e-21	0.253962473706548
RAMP1	2.67069014852336e-23	1.87442549591297e-21	-0.206157511752371
TSC22D1	2.68586311131392e-23	1.87442549591297e-21	-0.200111654477503
S100A1	4.73588202232972e-23	3.24940040105128e-21	-0.220972676368782
SOX9	7.18372682986476e-23	4.87415865406324e-21	0.233305336660327
GRID2	9.80647524021341e-23	6.58057594003991e-21	-0.3298007780145
KCND2	1.17495171800871e-22	7.8413581049401e-21	0.280762216365562
RPL29	3.80807106773157e-22	2.52760717120683e-20	0.208753063855832
LHFPL3	4.67251502861533e-22	3.06803365830533e-20	0.320540800326914
CLU	5.31790584246757e-22	3.47313283711532e-20	-0.246264921680018
RPL36	6.04849217246132e-22	3.92926781395054e-20	0.233508624304999
RPL26	6.43843318963883e-22	4.16045420873328e-20	0.232200511425709
SQLE	9.9489094309742e-22	6.36157229740775e-20	0.177514714804734
RPS3A	1.16201274777201e-21	7.39149046278104e-20	0.233787467185625
RPL13A	1.27735393537075e-21	8.0830692293694e-20	0.240589355871818
ZNF667-AS1	1.38138348232438e-21	8.69630745857094e-20	-0.246980573896978
EEF1A1	1.47695580637299e-21	9.25028782729913e-20	0.253445103606984
EEF2	1.61591604699563e-21	1.00689707561008e-19	0.266698850385241
IGSF21	1.73373878696852e-21	1.06940160632558e-19	-0.306882719430515
SOX21	2.16222398846166e-21	1.32036207855411e-19	-0.184309280501781
DOCK9	2.82209286696034e-21	1.71473732259635e-19	-0.15847164441136
RPS24	4.939645310882e-21	2.9718171518129e-19	0.24146297483341
AC131097.2	5.84691473073463e-21	3.48333510275425e-19	-0.338686226371021
DUSP1	9.68879332484954e-21	5.71638806166123e-19	-0.257827689424121
EMID1	1.06096144007506e-20	6.22957791713301e-19	-0.210859855434001
RPS11	1.15507064950632e-20	6.74970231694767e-19	0.280080554688272
LINC01301	1.30690811210257e-20	7.60060417767083e-19	-0.202246901593607
HNRNPA3	1.3170001543701e-20	7.62299662811468e-19	0.24022420391207
MSMO1	1.49078756801085e-20	8.54788195686221e-19	0.156252825061064
RPL35	1.9926611610841e-20	1.13192422141024e-18	0.216259907409731
THBS2	2.54993185235001e-20	1.43512984851385e-18	-0.211073475349688
RPS10	2.58697540149453e-20	1.44929956781893e-18	0.316603884266795
H3-3A	2.96001691588334e-20	1.64687389489701e-18	0.214749365521234
RPLP0	2.96661145400263e-20	1.64687389489701e-18	0.272324827599968
RPS12	2.98859711869885e-20	1.65157179233797e-18	0.2196163156462
RPSA	3.73647691715998e-20	2.05556723375112e-18	0.223612522036545
ZEB1	4.02624436783834e-20	2.20504585042196e-18	0.238031626143857
RPL35A	4.922425417969e-20	2.68382060846676e-18	0.212589928506777
RPLP1	5.19715731760057e-20	2.82101699199359e-18	0.233907186760256
NLGN3	5.52372762966781e-20	2.98501263456341e-18	0.291242694059461
TMSB4X	5.95801518075502e-20	3.20551715429784e-18	0.258495902875771
SET	7.02345578787601e-20	3.7457408531585e-18	0.27136145910953
MMP16	7.72686147842992e-20	4.10296344504629e-18	0.282851581195756
RPL4	8.18813534549726e-20	4.32907779110641e-18	0.264809678817854
TUBB	8.22673732132729e-20	4.33073891833492e-18	0.314883191838667
IGF2BP3	9.90479364164618e-20	5.19172724229291e-18	0.173156234182851
ENHO	1.00689354625651e-19	5.25520977796186e-18	-0.27328420367228
PURA	1.2562475303854e-19	6.52874514408378e-18	-0.233499989483865
PMP22	1.39171872265897e-19	7.17175559486666e-18	-0.185528933826194
RPS28	1.38958014124145e-19	7.17175559486666e-18	0.219666397505505
MAMLD1	1.83180774799238e-19	9.36061423691671e-18	0.158355833269369
GPM6A	2.47902709243535e-19	1.25628040995489e-17	0.165407414941374
SOX11	2.9850459986381e-19	1.50646143724658e-17	0.222580855591993
PTMS	4.38828052472479e-19	2.19647828067475e-17	0.223475703609481
TNR	5.35989651920391e-19	2.67185372200152e-17	-0.19653901474503
RPS21	6.24003489699875e-19	3.09794903240024e-17	0.232489549591916
RPL19	6.68984805889687e-19	3.30781839446589e-17	0.214511733208866
HERC2	6.96234372159755e-19	3.41490376995465e-17	0.258935963510251
CASC15	7.90847365169454e-19	3.86344754832582e-17	-0.151036328345208
VCAN	1.30644835402216e-18	6.35683416241937e-17	-0.262691644540996
MFGE8	1.60588987271527e-18	7.78283056169508e-17	0.16915767908331
RPS6	2.54182840884174e-18	1.22700989554088e-16	0.232110012996634
PRRC2B	2.62570138528687e-18	1.26250752041372e-16	0.275033220053522
MTRNR2L12	2.86692147632841e-18	1.37308674472152e-16	0.192502326413804
ARL4A	3.45200957668399e-18	1.6404433058382e-16	0.270354737904567
HLA-C	3.90436854586521e-18	1.84821911049038e-16	-0.304448713644572
CALM2	4.34798655168982e-18	2.05026871643968e-16	-0.174381028236064
RACK1	5.00455669883619e-18	2.35079426780332e-16	0.194194607927513
RPL10A	6.28110022113223e-18	2.91677098861931e-16	0.201099662188857
ATP1A1	6.41456824439332e-18	2.9674667412415e-16	-0.234543258376836
ANXA5	6.51432366984322e-18	3.00224282942623e-16	-0.187914853117267
AL450345.2	8.08601979898363e-18	3.69867265187218e-16	-0.153943140852788
CD82	8.18781796706095e-18	3.73126197133267e-16	0.232962562575643
GSTM3	9.41289070744454e-18	4.27359234981488e-16	-0.23208635381809
RPS13	9.95834716475025e-18	4.50449236752203e-16	0.187640004836983
ZNF37A	1.07296292749525e-17	4.83545986475998e-16	0.16328572531137
FTH1	1.17760197663463e-17	5.28751946347013e-16	-0.165387171241467
HES5	1.8783637991762e-17	8.35602114211896e-16	-0.415691152756698
GRM7	1.88152445270017e-17	8.35602114211896e-16	-0.171456215781761
TSC22D3	1.90437008569612e-17	8.42683762920531e-16	-0.199823316228641
RPL38	2.82961012675475e-17	1.24758225552548e-15	0.188129834440398
PLLP	3.18258199695578e-17	1.3981609326914e-15	-0.166968579131862
SNHG15	3.41684366771339e-17	1.49569576035067e-15	-0.176363004210652
OFD1	3.94102030106882e-17	1.71287120772077e-15	-0.212440232223599
RPS5	4.20165888349506e-17	1.81967588454345e-15	0.200422519667606
HIP1R	5.66988025281507e-17	2.42119746600106e-15	-0.262629841336272
ZFP36L2	6.01889169195038e-17	2.56127959002752e-15	-0.296304959438055
ZNF737	6.38199254619197e-17	2.70636371411953e-15	-0.153578851742937
ZNF714	7.35113300769959e-17	3.10655319802889e-15	-0.158189559187021
OLFM2	7.4543763820757e-17	3.13932064669967e-15	-0.191348267208878
HNRNPA1	1.60216829757533e-16	6.70112377338611e-15	0.201791278932761
RPL3	1.86386047392721e-16	7.71638236205867e-15	0.203721310230295
RPL36A	2.26091341096927e-16	9.23496170172834e-15	0.160434371858792
PLAAT3	3.12830440394636e-16	1.26509873130453e-14	-0.164635313855664
SMOC1	3.72568569315827e-16	1.5017095501829e-14	0.268086840517732
SPRY4	4.10247246772407e-16	1.6481413239577e-14	0.246757900027759
