Gene	PVal	FDR	Log2FC
HBD	5.33270439648006e-64	2.17094395980703e-60	1.86985814006097
SLITRK2	3.23630428560295e-39	9.8812460600172e-36	1.36479659560508
FIBIN	6.37234969329043e-23	1.55651013608312e-19	-0.73613523151112
SPARCL1	8.08617501128014e-21	1.64594092354607e-17	-0.896689484607247
LRRC4B	1.95337047651523e-20	3.40807337566865e-17	0.88641169798769
EMC10	2.54414337494306e-16	3.88395287977246e-13	0.604362317737771
MT-CO3	8.04554662144287e-16	1.0917806765298e-12	0.566969372240213
TEK	1.18776179752703e-14	1.45061348331976e-11	-0.505445122123977
LINC00632	3.82573016513455e-14	4.24760386425348e-11	1.10110887577881
CLEC11A	5.50263027570538e-14	5.60030196309915e-11	0.343724871597027
HTRA1	8.56338008442301e-13	8.04496622854294e-10	-0.676297082175372
ARMCX6	3.24336712231346e-12	2.82937447605817e-09	-0.231654618409256
UBB	1.55022541620622e-11	1.26219353387511e-08	0.882980690936699
ALDOA	1.79539862519267e-11	1.37045021309238e-08	-0.219089323271611
EIF1AX	1.98995182287121e-11	1.4296048007486e-08	-0.790691371142957
RPL37A	1.24092715131676e-10	8.41969072168418e-08	0.839448511617551
FABP5	1.86192389693596e-10	1.19682508175152e-07	0.452204307650417
VIM	2.63015825105866e-10	1.60610613600897e-07	0.6653964442181
MTRNR2L12	3.01053822116305e-10	1.75084301405068e-07	-0.418563713344231
FBXO7	3.70383563968404e-10	2.05613384852096e-07	0.573605701813403
MT-ATP6	5.81368740921864e-10	3.0870680142951e-07	0.45708115053443
MT-ND3	6.20696538131825e-10	3.15856950841832e-07	0.460370650388907
HOXB2	1.939305211535e-09	9.47389381939076e-07	0.226119873154751
ESD	2.69206488502884e-09	1.26454570926374e-06	0.475931233177013
MT-CO2	2.8934443599488e-09	1.30880133215017e-06	0.371694951006357
TF	3.4287873838899e-09	1.49556358283741e-06	-0.358622893543408
BEX5	6.28798135963948e-09	2.64810746018196e-06	0.511474172397039
CHL1-AS2	1.03784685704626e-08	4.22507455503531e-06	-0.314401795515034
COMT	1.33894651371978e-08	5.2750173458257e-06	-0.615324251662618
MAP3K13	1.65654697268007e-08	6.32231505541928e-06	-0.393702095046365
CNTNAP2	5.5549961180292e-08	1.71449088176449e-05	-0.168228142802096
COL20A1	5.6152980652239e-08	1.71449088176449e-05	0.488047935773274
CLDN10	6.62954614013093e-08	1.97479626852242e-05	-0.439549175727053
RPL37	6.91072832050402e-08	2.00954107091228e-05	0.728720744409313
FOS	1.1003071544568e-07	3.12512820404207e-05	-0.727523518167332
MT-CO1	1.46745395004067e-07	4.07318524814698e-05	0.339432019533544
C1QL2	1.51909952076137e-07	4.12283609934635e-05	-0.49171021919202
NEU4	1.67521185106561e-07	4.38747081191018e-05	0.772205637091675
HOXB3	1.68845597445164e-07	4.38747081191018e-05	0.199624770148889
RPS19	2.14768489258769e-07	5.46451574857779e-05	0.442338807819646
AC069277.1	3.41819309521414e-07	8.13909451803847e-05	0.235798492171737
PPID	3.92501926233111e-07	9.04457740582071e-05	-0.222036723907586
SLIT2	4.89549300406098e-07	0.000108706647379267	0.292893266154891
TFPI	5.89255234157493e-07	0.000128510253120812	0.229278852735489
SCG5	7.07210551852516e-07	0.0001515291661364	0.687875636783166
IER2	7.47638189946384e-07	0.000157429400238193	-0.798531753695547
SLITRK4	8.33840049434887e-07	0.000169728142062471	0.198798228153347
CRNDE	9.39937402834528e-07	0.000186556226248632	0.26305482355213
MARCKS	9.79299190418994e-07	0.000189844143056939	0.352417915695381
LINC02802	1.25061196259203e-06	0.000234980367679022	0.17769512509338
RPS6	1.31993966271754e-06	0.000244248834860142	0.452285054183338
RPS8	1.39561131578469e-06	0.000250655897054094	0.367614255225649
EEF1D	1.4826629362181e-06	0.000262431339710604	0.193403147287541
RPL39	1.59876800098838e-06	0.00027501061402917	0.64539966347305
OLFM2	1.902058425993e-06	0.000318216980228117	0.469578041826277
RPS27	2.04349613051931e-06	0.000333343934705625	0.440134304516611
SLC22A17	2.04706420231899e-06	0.000333343934705625	-0.381985083004369
C1QL1	2.28726979949656e-06	0.000367558237648046	-0.719849390949601
GRIA4	2.59077159622864e-06	0.000410923292269356	0.534791927917741
PCDH11X	2.72452927878627e-06	0.000426598411305343	0.332447470236843
NLGN3	3.97605931409937e-06	0.000614678638013868	-0.374591735080287
SGTA	4.09402993545605e-06	0.000617288735823763	0.19678537056335
AC006480.2	4.68365155499956e-06	0.000689173933026622	-0.352669242822333
RPS12	4.85291992027423e-06	0.000697278952780108	0.587264010928435
RPL3	4.80715877375131e-06	0.000697278952780108	0.403942520281347
RAB9A	5.12133015623946e-06	0.000727288432536657	-0.378411344312477
BEX3	5.20069230087895e-06	0.000730069598513042	0.401543087792112
AC004852.2	5.50523893601053e-06	0.000764039580971553	-0.261257102675871
BSCL2	5.68085873007355e-06	0.000779554243487509	-0.304714849208585
GABARAP	8.2874930439917e-06	0.00108833497361581	-0.160291059273404
TGFBR3L	8.67407974262983e-06	0.00111512143049198	0.328016408715363
SYT14	1.00170290273274e-05	0.00126121624237887	-0.154013647217529
EMP2	1.06029128025605e-05	0.00132136095977215	0.411289449458796
TRIM56	1.11778623165324e-05	0.0013789417421395	-0.167761477988127
PENK	1.13501909745144e-05	0.00138619882371744	0.164176137897277
UNC50	1.27660033575867e-05	0.00154367523768521	-0.472083503917417
AC131097.2	1.69393185237182e-05	0.00198922978009779	0.620502336835623
ANAPC11	1.97552129709858e-05	0.00221349005518027	0.573377938159819
RPL34	2.19730708740175e-05	0.00235400977705593	0.486313287786979
JUNB	2.49473640098365e-05	0.00262657031596666	-0.638532781432893
NKAIN4	2.62461801105961e-05	0.00271642614989212	-0.392297928369088
MYH14	2.65910896312152e-05	0.00271642614989212	0.16972190426577
RPL21	3.03637681561014e-05	0.00306473306190468	0.607647863515121
RPL38	3.49883935132253e-05	0.00341850599981617	0.555270137747313
SCN9A	3.71299857216006e-05	0.00359636142725397	0.342753767593992
PTPRZ1	3.76921528443878e-05	0.00359636142725397	-0.24277264794027
RPL23A	3.74642612445236e-05	0.00359636142725397	0.721320109896561
NAGLU	3.86503153197333e-05	0.0036591961317822	-0.156945862714777
RPL26	4.02530086700466e-05	0.00378161534528677	0.571834758622402
CPE	4.2641061227411e-05	0.00394526727856342	-0.273630697521851
EPHB1	4.74093600135261e-05	0.00435346251011424	-0.165989210386315
BCAN	4.8754485269038e-05	0.00438656511210857	-0.2936957923123
CHL1	4.88473638947651e-05	0.00438656511210857	-0.39248851866885
LORICRIN	5.18620545157602e-05	0.00455677173957539	0.156573817578363
RHOBTB3	5.33948178900411e-05	0.00460507318545749	0.520165941165375
CNN2	5.35429781654765e-05	0.00460507318545749	0.220721451397848
RPS11	5.39574376561134e-05	0.00460826703562316	0.62557181884393
RPLP2	5.64818522926084e-05	0.00479036709756685	0.508043887911672
HNRNPA1	5.77249699577886e-05	0.00486203488341015	0.393647518495167
SELENOP	6.40636087184884e-05	0.00528036878423728	-0.30685080329494
COX7C	6.44211044666629e-05	0.00528036878423728	0.444535931263507
ZNF280D	7.62911183219142e-05	0.00608982632722574	0.25598969801893
TLE4	7.68627952718282e-05	0.00609340859723637	-0.454764302371217
DNAJC7	7.73338518440708e-05	0.00609340859723637	0.309052860112703
LINC01116	8.10143170271072e-05	0.00626220160665861	-0.199723853830422
TCEAL6	8.27354853910733e-05	0.00628242464364064	0.189654978885334
KIF5A	8.18868564740767e-05	0.00628242464364064	-0.324303206402284
MBIP	8.41691467376855e-05	0.00630648950372609	-0.260922566168899
CD2BP2	8.36795390249354e-05	0.00630648950372609	0.201592182482863
PSMB9	8.67667735963993e-05	0.00646147930446845	0.208917904753691
RPL4	8.84073812933017e-05	0.006465385315779	0.5512291116172
SEZ6L	8.78765561094108e-05	0.006465385315779	-0.41800457600908
ZNF37A	0.000102590631293582	0.00724242416178333	0.155578700838865
MT-CYB	0.00010373621245997	0.00728120898145753	0.279988359884769
ZFPM2	0.000109097107386386	0.00761373127148532	-0.218880694972794
CGRRF1	0.000110336048210174	0.00765644407267534	-0.203336575273894
TMEM229B	0.000119318733641328	0.00814100387688008	-0.202617724152256
RPS2	0.000126119858343596	0.00855723238861295	0.396883005517974
RETREG2	0.000141613106757128	0.00920662326184391	0.157407171108757
BLOC1S6	0.000143589613491958	0.00920662326184391	-0.184784258694141
MAGEH1	0.000148999519128556	0.00947776628706799	-0.542627959442219
RPL41	0.000152110917006887	0.00957593107940779	0.363831329984001
RPS27A	0.000158815750573702	0.00981850940260661	0.301063157186141
