Gene	PVal	FDR	Log2FC
MEG3	6.87340672471271e-85	2.79816387763055e-81	-1.57463751039425
APOD	1.78200521170905e-51	5.44090741265065e-48	0.989848060568386
EDIL3	4.29918277980253e-47	1.05011838579457e-43	0.844333730289329
LUZP2	2.16322746521736e-46	4.40324950544995e-43	0.718798462022348
MARCKS	1.58802104961511e-40	2.77064301127848e-37	0.672579266267776
GPR37L1	9.71132045017302e-40	1.48255445822454e-36	0.874225332467231
SCD5	1.05879743546579e-38	1.43678811992707e-35	0.730636818785244
OLIG1	8.06275864705342e-35	9.84704713564634e-32	0.638260147192515
OLFM2	1.19786521725011e-34	1.32995708166142e-31	0.851799239301683
GPM6A	8.75729795052155e-34	8.9127399891433e-31	0.542618051534407
LY6H	9.86595868505965e-34	9.26868872466411e-31	0.950170117183014
GRIA4	2.29158835031191e-33	1.99908346588281e-30	0.719819324451895
B2M	2.56538050159267e-33	2.08873280439675e-30	0.738147397888228
FIBIN	3.63139531315609e-33	2.77188943497346e-30	-0.545458650043806
PTN	9.34747769622229e-32	6.71533794729193e-29	0.581562536523997
RARRES2	2.74916993199395e-31	1.86531179885789e-28	0.661606570720841
FKBP2	4.36633680485393e-31	2.80663533672005e-28	0.494886912740425
SULF2	5.40550644436572e-31	3.30087251025192e-28	0.693577351471437
MT3	2.85044508494824e-30	1.65773742011776e-27	0.985071695177757
CPE	5.1192110594368e-30	2.8418602122228e-27	0.665462537923264
NDUFA13	1.07512447605015e-29	5.7089109678263e-27	0.703572558469891
ARMCX6	5.08365534420008e-29	2.58694511327982e-26	-0.300193541733787
HSPA5	6.58642693175725e-29	3.21760128470205e-26	0.805017669196011
BCAS1	2.38168393219131e-27	1.11875022553279e-24	0.837089642754099
ACTB	3.58848228206489e-26	1.62319015225402e-23	0.471812644108309
RPS4X	7.96174505233339e-26	3.47274258300528e-23	-0.375328920957999
KLRC2	8.52824084300738e-26	3.5915657039879e-23	0.657982676533605
SCG3	1.61298538102783e-25	6.56646348616431e-23	0.610344583226125
BCAN	1.77494142349707e-25	6.99269664682892e-23	0.487190555747007
SPARC	2.20325497559625e-25	8.40886031779907e-23	0.720781455222323
CTNNB1	3.22593126227021e-25	1.19388783351837e-22	0.359413538109747
PCDH11X	1.4051981232462e-24	5.04755431741349e-22	0.377912013877608
CALR	1.93340898136214e-24	6.74649253982167e-22	0.747710579805269
RPL36A	2.49018876378945e-24	8.44796538115572e-22	0.406175423034544
CHCHD2	2.80698232429644e-24	9.26531760179254e-22	-0.767631824744122
DNAJB1	3.27966893650774e-24	1.05406833477813e-21	-0.893451207351827
SLC44A1	5.90389493953086e-24	1.84882740760232e-21	0.663432792984169
SEMA5A	1.17241085236631e-23	3.57966343498743e-21	0.640753741977991
PTGDS	2.50496738917117e-23	7.46174798145061e-21	0.81537357566719
TMBIM6	3.91391184719342e-23	1.13810965213746e-20	0.545489911111704
GOLIM4	5.64800321714189e-23	1.60416426258032e-20	0.551732509836993
PCSK1N	6.0290743482766e-23	1.67347920489778e-20	0.678006476520628
THY1	6.59263997080319e-23	1.78924248807598e-20	0.709822133153885
SCG5	1.06221963748961e-22	2.82019313753491e-20	0.759483876533544
LRP1	1.09312850255115e-22	2.84050604290579e-20	0.496911986491669
DNER	1.82058127468428e-22	4.63224148077482e-20	0.686821756246819
RAMP1	2.00027077837269e-22	4.98557286046239e-20	0.859577560215712
SDC3	2.56785706719529e-22	6.27224767233123e-20	0.496867708743044
CASK	5.31507007555065e-22	1.27280295750392e-19	-0.554330467738504
CD81	1.51374415898405e-21	3.5552610410908e-19	0.535900951890374
B3GNT7	5.78629294417095e-21	1.33335840994641e-18	0.439927714639099
FAM89A	6.01486294498715e-21	1.36036150272459e-18	0.372664751901275
CTSF	9.43082980725214e-21	2.09415862610855e-18	0.425806370267738
SEC62	1.30423558562846e-20	2.84439807272864e-18	0.516894945842507
MAP3K13	1.71475653024229e-20	3.67409149190334e-18	-0.416372455855725
FBLN2	2.16154224305154e-20	4.55153714041181e-18	0.568032586482943
SPCS2	2.75831955462063e-20	5.70972147806471e-18	0.566389698027721
SAT1	5.94138262396652e-20	1.20936843310838e-17	-0.661673508537898
MIF	8.11216102316981e-20	1.62416102583562e-17	0.719355118829782
GPM6B	9.1013365086636e-20	1.76621953805703e-17	0.416923750306481
RAB31	9.11093350508418e-20	1.76621953805703e-17	0.560334289065987
CLU	1.06056494245302e-19	2.02385619409044e-17	0.700511020725366
RPL17	2.16511073621424e-19	4.06807652636685e-17	0.408233714997832
PPT1	2.54588323064639e-19	4.64072714863946e-17	0.571599013235358
APLP2	2.53895840254427e-19	4.64072714863946e-17	0.586867340044082
HLA-C	2.73595179805393e-19	4.91384989847539e-17	0.717009407107
MALAT1	3.80446207286505e-19	6.73389786897114e-17	-0.579182180907765
PLCG2	6.11093923288267e-19	1.06618429787423e-16	-0.721969822827102
AC092069.1	7.35464075745308e-19	1.26510179677147e-16	0.265196439789298
SCRG1	1.06476763070328e-18	1.78137083202455e-16	0.54064792405119
NCAM1	1.0543335116299e-18	1.78137083202455e-16	0.412435616046092
ITM2C	1.18654363401701e-18	1.95827802733105e-16	0.53530903898492
TNFRSF21	3.1373289743843e-18	5.1088265018874e-16	0.402717853221797
AC069277.1	5.76433857880089e-18	9.26314040301254e-16	0.221444470334798
CYP51A1	6.84357954644354e-18	1.0854628181911e-15	0.35242925057232
CRNDE	1.19087939324906e-17	1.86464231150651e-15	0.263922599912426
EGR2	1.31336852048659e-17	2.03040123300034e-15	-0.231279356874909
ATP6AP2	2.26241632686386e-17	3.45386132499854e-15	0.654439741727978
LINGO1	2.53466872329427e-17	3.82171717501147e-15	0.644144050485854
CD47	4.93066067461131e-17	7.3436779047595e-15	0.492340621957558
NAXE	8.71950778757423e-17	1.28302829650174e-14	0.493943462700489
NR4A1	1.07156280817441e-16	1.55797578288501e-14	-0.501723612203867
NTM	1.20599838300633e-16	1.73280685313603e-14	0.334342377816562
TMEM59L	1.42527898743512e-16	2.02406189227269e-14	0.544641261486289
CD9	1.83972005232695e-16	2.58258632173207e-14	0.727389758321513
ZNF528-AS1	2.77165069664664e-16	3.84661022251652e-14	0.249624988373164
NTRK2	2.84850635030815e-16	3.90885483778803e-14	0.525569230196143
RPS10	3.35772490956141e-16	4.55643270227484e-14	0.563768303208135
CD63	3.6368663432107e-16	4.88099435710244e-14	0.486175712498896
CADM4	4.91605424668117e-16	6.52606201246925e-14	0.613869861375709
HNRNPH1	5.10375793556158e-16	6.70238663086168e-14	0.223129142491251
HSD17B12	7.74073711933421e-16	1.00571938764286e-13	0.537412227159591
ITM2B	8.24069383008416e-16	1.0594062499665e-13	0.389525261706444
TNR	8.35593934172177e-16	1.06303215812967e-13	0.418199573908502
TIMP2	9.30436435082104e-16	1.17148661666575e-13	0.543498203523252
TMSB4X	1.30805340120917e-15	1.63012818254772e-13	0.226438992016798
EGR3	1.35330793627947e-15	1.66948988139204e-13	-0.379443300102701
SARAF	1.3941785115995e-15	1.70271021621647e-13	0.381615836309951
RETREG2	1.44236541890988e-15	1.74411968922241e-13	0.446160483475476
PEMT	1.96074581690175e-15	2.34770477076677e-13	0.195332256332402
