Gene	PVal	FDR	Log2FC
COL20A1	4.6040295480317e-174	5.62290128701111e-170	-0.86483351105721
PCDHGB6	2.1166800595732e-140	8.61700452252248e-137	1.03742803146865
HBD	1.42028958351098e-136	4.33649917085489e-133	0.865320734567072
COL9A1	6.53087546354088e-129	1.59523164072449e-125	-0.709045405394439
HSPA1B	1.25685342067428e-115	2.5583251377825e-112	-0.857874449590144
TCEAL7	6.9257658084465e-103	1.20834825455082e-99	0.7644139902721
GOLGA8A	3.84715142643051e-100	5.87315754637447e-97	-0.60704873141895
AL627171.2	1.24288113819445e-96	1.68658970452986e-93	0.764180589261535
SNRNP70	1.5176952267011e-91	1.85356118037006e-88	-0.578105343026782
COL9A3	2.71860273584102e-88	3.01839047389331e-85	-0.565763403201433
PLCG2	8.51619749597622e-88	8.6673600015298e-85	0.661600746043061
BTG2	2.38661149372946e-85	2.24212970560907e-82	0.662751284174498
SPARCL1	3.09034129174249e-75	2.69588129971793e-72	0.771345210034346
DBI	1.7999191189444e-72	1.46549414664453e-69	0.707548551962355
PCDHGA10	3.70660745639223e-66	2.82929980405739e-63	-0.329312115151599
JUNB	1.64820359346767e-65	1.18408885217768e-62	0.816343481424155
FOS	9.4318381684185e-64	6.39950219727195e-61	0.820623862341595
MT3	2.92948307845498e-63	1.88304088616688e-60	0.699621670469234
APOE	4.18186520846085e-63	2.55365598954662e-60	0.814377438824444
DNAJB1	7.08528808948998e-63	4.12060111604481e-60	-0.554957126206284
SCN1A	1.84240776942153e-62	1.02278754945205e-59	-0.506155326462827
CD63	3.42965243554133e-59	1.82114544327245e-56	0.412565180862544
GADD45B	6.47436580189445e-59	3.29464289743904e-56	0.411571569587275
HSP90AA1	2.82264170397032e-58	1.37891692522358e-55	-0.416568399943438
COL16A1	4.6513430288761e-58	2.18487893891015e-55	-0.352637686669818
GPM6A	2.21348064307824e-57	1.00123107755239e-54	0.321288716669162
BEX3	1.11233718344576e-56	4.85177643622252e-54	0.39488032760105
IER2	1.26550804581766e-56	5.32953440123141e-54	0.737085837584623
ACAP3	1.76593284520992e-56	7.18911261284957e-54	-0.432033424726374
ANKRD36C	5.33418513328736e-55	2.10149687202705e-52	-0.434235995425168
PTN	8.0116267499147e-55	3.05768742177213e-52	0.39176116663686
DDX17	2.83572344217152e-54	1.04947546664366e-51	-0.391738819513319
GRIA2	1.77617282963351e-53	6.38011728479826e-51	-0.284302115680599
MACF1	2.82074021118363e-53	9.84277148548161e-51	-0.466201092864145
RAMP1	3.32468600015741e-53	1.1278997255534e-50	0.572188609859167
FABP7	2.30427698689645e-52	7.60598238945036e-50	0.580032991808827
SRSF11	2.56566439880344e-52	8.24591034278591e-50	-0.429334863649218
H4C5	3.93864737073951e-52	1.23340257279081e-49	0.271342015783906
BEX1	1.62183238649973e-51	4.83108266739542e-49	0.455869510937817
COL9A2	2.93831395163571e-51	8.54419721222068e-49	-0.387922191724503
RPL41	1.4367317733495e-50	4.0806523599808e-48	0.456681536044135
CST3	4.21051951399851e-50	1.16870624601054e-47	0.668893211892025
COL11A1	1.33931223099623e-49	3.63489339492376e-47	-0.382878356061033
GPM6B	3.24397801465466e-49	8.61276162890813e-47	0.330035751494191
PCDH15	2.09733439393044e-48	5.44994573469626e-46	-0.415368519459199
EDIL3	2.34988689937883e-48	5.97899347960701e-46	-0.449154515848679
NR4A1	2.79576133915983e-48	6.96829249697122e-46	0.451746621650836
ACADVL	3.25646621840438e-48	7.95424438507455e-46	-0.32542968216212
CEROX1	4.4816658633713e-48	1.07322716057556e-45	-0.429793767420442
TRIO	1.57864873013513e-47	3.70769941175776e-45	-0.435882709814406
ZFP36	1.67661540484669e-47	3.86349130931935e-45	0.262319497010694
LUC7L3	2.35657375253354e-47	5.32978430364668e-45	-0.309810323337186
SELENOP	4.14173958583565e-47	9.19692101123832e-45	0.30664265015062
SOX6	4.84383890755313e-47	1.05638936746333e-44	-0.374462756239882
PTPRZ1	6.1950693850674e-47	1.32737512982155e-44	0.259760828006712
H3-3B	1.88687639130696e-46	3.97317609776412e-44	0.466889035697687
PCBP4	2.24498596009314e-46	4.6471209373928e-44	-0.326457631655955
HNRNPH1	5.71491057688514e-46	1.16327004792497e-43	-0.379411869303766
GRIA4	1.24885031855123e-45	2.50036212138789e-43	-0.308783409249696
MT-CYB	3.19734550827606e-45	6.29825495041541e-43	0.260656672689372
SFPQ	5.5979679943689e-45	1.08085267956765e-42	-0.344575537124424
GOLGA8B	5.66401142162693e-45	1.08085267956765e-42	-0.357431786592267
PCSK1N	2.11336054067545e-43	3.97084188973373e-41	0.221800396742134
S100B	3.28916445151218e-43	6.08644931004821e-41	0.434229219607915
H3-3A	5.88184851067078e-43	1.07216441583317e-40	0.481489981610669
B2M	8.59476627680067e-43	1.54364530203774e-40	0.399309444740222
C1QL1	3.85543679709836e-42	6.8241231308641e-40	0.586980610008918
SETD5	5.1254759937328e-42	8.94249118735125e-40	-0.358920726197644
MARCKS	1.36359265061719e-41	2.34557141436446e-39	0.375332088924601
SRRM2	1.74334248403907e-41	2.95714468855127e-39	-0.291431965334735
ARGLU1	1.94032391511475e-41	3.24618848976664e-39	-0.334487088925905
HSPA1A	4.85148466048596e-40	8.00691650790743e-38	-0.393391409424216
HERC2	1.27950156439591e-39	2.0835403474623e-37	-0.346935731059822
MYT1	1.45851382990265e-39	2.34379334271066e-37	-0.357008483239291
RPL37A	3.06661100959211e-39	4.86396367014914e-37	0.439346668855945
PLEKHH2	3.66509078752278e-39	5.73868638307894e-37	-0.375732826680953
MYO9B	3.86055009063536e-39	5.9682149692316e-37	-0.285068356396526
ADGRB1	4.42544578986392e-39	6.67258881871704e-37	-0.323973976087928
DST	3.29488550409108e-38	4.90737032456882e-36	-0.387144677222536
LNX1	3.59762007858656e-38	5.29370289394911e-36	-0.375825224157925
SCN9A	7.02216409925913e-38	1.02097250171728e-35	-0.304878270521332
EGR3	7.73379508295189e-38	1.11120987468343e-35	0.271783503874251
TCEAL9	1.07125260934364e-37	1.52130326952486e-35	0.420059476411574
PCDH9	1.73422645803525e-37	2.40683042408914e-35	-0.299275873829064
H2AC20	2.03988220075291e-37	2.79922261997699e-35	0.261148703657425
SRSF6	5.60479633354908e-37	7.6057086246261e-35	-0.302871789626633
TNK2	6.05916611054471e-37	8.13193359429478e-35	-0.344887194170886
CD81	1.13523297903777e-36	1.50702177967264e-34	0.204787267311108
SPG7	7.01287680028874e-36	9.20949079160499e-34	-0.325532129210536
FTL	7.62272839074498e-36	9.90387040810303e-34	0.456582510625893
FAU	1.20508009632825e-35	1.54922560173231e-33	0.411711125043549
SCRG1	2.27383054571162e-35	2.8927387973725e-33	0.331945423124351
MAP4K5	2.40738248990859e-35	3.03106828342821e-33	-0.320434869551135
NDUFA4	2.43865254955729e-35	3.03910852936155e-33	0.368672366023791
H4C3	2.88576203602563e-35	3.55998098444253e-33	0.618725429104655
COX6A1	3.37016455900183e-35	4.11598197590894e-33	0.420881621439515
PAXBP1	3.78213261501345e-35	4.57338471556032e-33	-0.362587520791296
MT-ND4L	1.63326628804796e-34	1.9555961937186e-32	-0.284192297133978
ITPR2	1.88999233805746e-34	2.24101712861124e-32	-0.297668134251678
IGSF9B	3.07712947112897e-34	3.6135559837402e-32	-0.287232452017176
LRP1B	4.46478555446761e-34	5.14419112987858e-32	-0.346448336646471
KAT2A	4.42268377936959e-34	5.14419112987858e-32	-0.22924972728985
HES5	4.53586225241365e-34	5.17724165315214e-32	0.516057396089434
RPLP1	5.08656471536658e-34	5.75205693229371e-32	0.459110774589361
RPL30	5.36224318440682e-34	6.00817211111564e-32	0.436389779315659
BPTF	6.50763586617628e-34	7.22525062123735e-32	-0.369848570760109
PPP2R3B	8.8413351348987e-34	9.72785819842503e-32	-0.276412049280283
FBXO7	9.33826968786085e-34	1.01828828301647e-31	-0.27852304191697
ARC	1.03081112859351e-33	1.11409701889492e-31	0.40598807203045
JUN	1.35194944632779e-33	1.43577031200011e-31	0.448926494294604
COX6C	1.34816592851376e-33	1.43577031200011e-31	0.404579206467395
ARL4C	1.44396214316835e-33	1.5202680736651e-31	0.305101317123593
C11orf96	2.15297211207394e-33	2.24737165852642e-31	0.532577162766642
WSB1	2.23549948027494e-33	2.31374196208456e-31	-0.272273601146463
COX7C	2.64183415690028e-33	2.71132105531286e-31	0.400997868962391
ITM2B	3.68456407452242e-33	3.68849024935592e-31	0.298777553144828
MTSS2	4.55106310315563e-33	4.51887265681624e-31	-0.288840692126949
MARCKSL1	5.05299482509298e-33	4.97679240313392e-31	0.412938523196487
TSPOAP1	5.99622718783697e-33	5.85855381160423e-31	-0.260878988790752
MARK3	8.25341790890095e-33	7.99992007312756e-31	-0.301697424277832
RPS3	8.65644252647942e-33	8.32449862802308e-31	0.237482037137165
TMEM259	1.25377386380447e-32	1.19627657801906e-30	-0.252840274142877
C4orf48	2.18991989150129e-32	2.07329392518645e-30	0.352215722891151
RPS19	2.27840637594578e-32	2.1404751591866e-30	0.28103740160183
ATF3	2.36698697715372e-32	2.20671846961667e-30	0.15829722074062
CD9	2.49551106822621e-32	2.30891489971566e-30	0.403779614864705
ZNF638	4.57416305132745e-32	4.20031980044076e-30	-0.327108080537383
FNBP4	5.5208131185739e-32	5.03176795650321e-30	-0.301882531583683
FOSB	8.65118109762406e-32	7.82643516631723e-30	0.221539100455461
RPL21	1.22617318642124e-31	1.1011215533649e-29	0.402879343823653
TMSB4X	1.28913093391238e-31	1.14920847415123e-29	0.467771586174057
SPATA6	2.11411632171693e-31	1.87099294471949e-29	-0.318040219407667
WASH6P	2.28425966005136e-31	2.0070261315257e-29	-0.234125811104055
SRP14	2.46124573906908e-31	2.14708530080362e-29	0.365348839465803
DDIT3	3.08037691672751e-31	2.66813072936121e-29	0.355269268727528
SNHG14	3.37773541435365e-31	2.90509032503529e-29	-0.37093053560962
PRDX2	4.26118623698515e-31	3.63929143442655e-29	0.324010249094671
LY6H	6.41733442966742e-31	5.44270176316168e-29	0.392158842654314
CHD7	6.54747259014532e-31	5.51477812023757e-29	-0.340989840844361
USP24	1.35282101730299e-30	1.13164404687133e-28	-0.332323318394047
AASS	2.29075769158426e-30	1.90319889029378e-28	-0.282153280422878
TCERG1	3.22694166271831e-30	2.6628809815391e-28	-0.24544457490501
SCG3	3.31024837134468e-30	2.71329284290152e-28	0.244717848606763
RPS18	7.51046125777291e-30	6.1150175560787e-28	0.362678134375207
MT-CO1	9.18942104234346e-30	7.43247676755898e-28	-0.184275988934882
MIR9-3HG	1.30600962794352e-29	1.04936155171541e-27	-0.253876769214245
TTC3	2.47919075925726e-29	1.96612706122136e-27	-0.288912374960308
RPS29	3.54816827437446e-29	2.78205402832893e-27	0.375746928748278
PPP1R14A	3.553593944316e-29	2.78205402832893e-27	0.269160846648399
RGS11	4.02296084537269e-29	3.12945355442908e-27	-0.205972802388006
SNX22	6.30706555942341e-29	4.87520200488849e-27	-0.285947922425159
RBM5	1.2723003774987e-28	9.77270723923998e-27	-0.26556858185236
RPL15	2.27910241476637e-28	1.73966736197136e-26	0.348628661934542
CLU	2.43988605118881e-28	1.85082784740179e-26	0.299046285525641
RGCC	4.07488260817144e-28	3.07200872182702e-26	0.422983827925086
RPL34	4.26734924598168e-28	3.1973703276794e-26	0.37402746110987
ANKRD36B	4.4798480669827e-28	3.33612100256461e-26	-0.186282584121201
CHCHD2	4.71234886475755e-28	3.48799495062327e-26	0.406551683992293
XIST	5.57154719306696e-28	4.09911481138113e-26	-0.29279203416338
LTBP3	7.51858037059581e-28	5.49846838719082e-26	-0.255977302028042
MYCBP2	8.37429999726996e-28	6.0878170158725e-26	-0.319395983382733
LENG8	9.37699310166079e-28	6.73654216179901e-26	-0.231475385589357
EWSR1	1.0141603407988e-27	7.24323990770509e-26	-0.246213957739631
SFSWAP	1.4280563145378e-27	1.00234780284196e-25	-0.229364274348099
RPS8	1.7616284707067e-27	1.2294153435852e-25	0.313542217448219
UBC	2.092304769742e-27	1.45189307686699e-25	0.286505633323609
RPS27	2.18615108720364e-27	1.50844425017051e-25	0.390122421336257
QTRT1	2.36748275473135e-27	1.62438577997382e-25	-0.211333096014577
SUGP2	2.43498908498361e-27	1.66136992708965e-25	-0.268642716691884
TLE2	3.1756203756662e-27	2.15465842488952e-25	-0.179563288820627
RPS27A	3.27392551266089e-27	2.2090857616645e-25	0.370990266095999
RPS15A	4.01685426730919e-27	2.69548577838721e-25	0.243417352045234
EVL	4.81210851204567e-27	3.21149077910458e-25	-0.275996916583624
PARK7	5.03939844254106e-27	3.34490071623663e-25	0.37994815575307
RPS15	5.28272080923415e-27	3.48745239152306e-25	0.313197093491138
GABARAPL2	6.24802663321066e-27	4.08059621772202e-25	0.3138182706367
PON2	6.54644094731916e-27	4.25274911114941e-25	0.364093387284136
POMT1	7.01281888164065e-27	4.53161677256493e-25	-0.196490563413501
RPS14	1.2006609622919e-26	7.71437451082352e-25	0.346225235574698
RPS4X	1.20645667040636e-26	7.71437451082352e-25	0.29890414114632
EGR2	1.84674208403462e-26	1.1747010975164e-24	0.184191396595481
CIRBP	2.60285854307795e-26	1.64708349153425e-24	-0.205019615641481
RPS28	2.86291934146173e-26	1.80231102666351e-24	0.326134982269384
PREX2	3.2211756841196e-26	2.0174471092386e-24	-0.299788125218794
RPS7	3.65346414407284e-26	2.26496231429247e-24	0.27956261272223
DDX39B	4.07608715857485e-26	2.51420467008458e-24	-0.189460546336585
RPS12	4.12790169986118e-26	2.53337002313591e-24	0.355044595611905
LINC01546	5.31833897712665e-26	3.24764369638239e-24	0.253762659103725
FTH1	5.34779615586258e-26	3.24938479858456e-24	0.333184563887057
NDUFB2	6.84292623615385e-26	4.13726030307658e-24	0.374111270559018
ARHGAP21	8.74576686904613e-26	5.26167737791431e-24	-0.294102010356498
SUMO2	8.92025962886783e-26	5.34034955134132e-24	0.243241119529003
RPL8	9.93129436970979e-26	5.91662917742759e-24	0.191631446759076
LINC00342	1.02702774152417e-25	6.08887854720131e-24	-0.255922238822401
UQCR11	1.0449747314968e-25	6.16535091583109e-24	0.403624237124431
MT-CO3	1.28234883481485e-25	7.52948380749698e-24	0.169110073170895
CIT	1.3483637383484e-25	7.87921834279858e-24	-0.223795633765355
UQCRB	1.40470844503124e-25	8.16938297103167e-24	0.386406306190085
DYNC2I1	1.6389095349868e-25	9.48625694350414e-24	-0.216094330911673
CMYA5	1.70850762662209e-25	9.84245454902624e-24	-0.253139849844789
HINT1	1.81594743919948e-25	1.04122845422269e-23	0.281181551239574
UNC80	1.87944452506105e-25	1.07260074694255e-23	-0.225404011594164
RPL7A	2.00393136783764e-25	1.13832622304191e-23	0.274896810838815
