© 2000-2023 QIAGEN. All rights reserved.

Canonical Pathways	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
EIF2 Signaling	60.69291283836367	37.91008562705505	30.17494929843538	60.437691141975755	58.290337269159195	30.461561470704765	60.05928728292173	27.558933966737307
Oxidative Phosphorylation	49.324902926808875	21.78101770741165	36.41028171825193	2.26543454839146	47.485294785391176	14.297057585962303	0.3421322570049722	6.415209635179723
Mitochondrial Dysfunction	36.084397098701025	22.30214347857849	37.958151467989204	2.322252060381195	43.333149943531055	14.101006575660492	0.526971260721266	5.648159980186547
Regulation of eIF4 and p70S6K Signaling	16.22353405134568	8.990485119063123	10.726203772923654	18.13779031276677	16.81501460562405	7.762569174587498	15.709682594784832	6.249670172775437
mTOR Signaling	14.65839739213634	10.529874869103972	8.198452860702547	16.93632507042544	13.517647367246939	8.267569658080076	13.809983808212644	5.558516797601418
Coronavirus Pathogenesis Pathway	12.933459239337223	5.497998384902913	3.9864179346813264	16.761774118482606	12.71291786963735	8.773712137311492	16.041010920185947	6.415209635179723
Sirtuin Signaling Pathway	20.688803213482114	5.514836408228589	12.582271536926182	1.5113778431252054	18.71586478556024	3.625717753275134	0.41722632569710205	0.8654332195860571
Granzyme A Signaling	24.17939588656824	5.666490988534586	12.13575778442397	1.251082300307761	16.405600294897695	3.5456219431488303	-0.0	0.3092866772811569
Estrogen Receptor Signaling	11.301202720691991	6.910069677454853	11.830527309333858	3.0158159334281183	9.763575308193602	7.233884339066938	0.4524836872645311	0.5803022534745709
Neutrophil Extracellular Trap Signaling Pathway	12.342730818222707	1.7498381957448577	3.9497603501368115	1.526682639716299	11.875775372174093	1.6793606380024604	0.17405873112990689	0.12799350559861433
Protein Ubiquitination Pathway	6.81025233833665	8.277626985449487	12.405006170611127	0.9516420984585143	1.501470075104474	2.321760013314452	0.5382749234793219	0.3092866772811569
Phagosome Maturation	5.967173702572126	3.144733146988609	9.958386168752135	1.188654060391352	3.1640021932320885	6.056580063644666	1.814017290275828	-0.0
Huntington's Disease Signaling	4.354850183235666	4.60346758125477	9.958386168752135	0.5571108355282395	4.639809421885839	1.0940014604159174	0.3365577250744623	0.11460751262161502
Glucocorticoid Receptor Signaling	6.237445857685037	0.5564250073561826	3.6598591139315344	0.36230853138897207	6.062191852020554	2.0919822117572586	0.4524836872645311	0.11198456585901989
Synaptogenesis Signaling Pathway	0.5859558003497293	0.7655382903899418	9.775914871323744	1.128077118350465	0.44483318736242106	3.761587910200047	0.922657507060677	1.6786440312649928
HER-2 Signaling in Breast Cancer	1.3810223422125665	3.200637615578185	6.79614973799517	0.6377517573881027	2.095647650404485	1.8962073688355674	0.3670056505225977	1.50950479272871
Hypoxia Signaling in the Cardiovascular System	0.483821798486856	3.0414678782990747	7.56249146781417	0.8467104571407355	0.17271207115305923	2.862912054035468	0.16042591981747553	0.0639432497732605
NRF2-mediated Oxidative Stress Response	3.172081371373655	1.019409912804434	2.882537718748559	0.7669897904934928	0.9309341431371195	2.862912054035468	2.374764134556302	0.09977866140368866
Unfolded protein response	3.816216319001425	1.3629601173693322	3.7334694255353433	0.4393939750281946	0.12992044899073776	2.263415536701562	1.2601967317088083	0.0639432497732605
Integrin Signaling	0.26039434923099963	1.5379646180944142	7.481862473279867	0.376244822024748	0.254314201299853	2.1700653272513115	0.2841089146118514	0.0
Clathrin-mediated Endocytosis Signaling	0.2914261537982455	1.9306358270397255	5.19421588756144	1.251082300307761	0.819323866527531	1.9942343993229268	0.6600099431085024	0.0639432497732605
CLEAR Signaling Pathway	1.8118310709545102	3.3200285360935218	3.3671404712713526	0.6997238222809996	0.819323866527531	1.6752548695949467	-0.0	0.0639432497732605
CSDE1 Signaling Pathway	2.1143943782745183	0.5730963865993878	2.547371942036195	1.195371759915133	2.2327510626390126	1.840164662468884	1.0398022141931305	0.11460751262161502
Semaphorin Neuronal Repulsive Signaling Pathway	1.31705707826978	0.006047628282697958	2.1176136465458053	0.6997238222809996	0.5556765940707546	2.739085680211136	3.230927916322261	0.0639432497732605
Virus Entry via Endocytic Pathways	0.4820975501052295	0.655573168925959	3.3671404712713526	0.17784857298035064	1.0837175462890165	4.018605208782436	0.5682644543424192	-0.0
