© 2000-2023 QIAGEN. All rights reserved.

Canonical Pathways	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
EIF2 Signaling	6.272	-4.919	-4.899	5.864	5.571	5.754	6.091	4.472
Coronavirus Pathogenesis Pathway	-4.802	4.131	3.317	-5.303	-4.667	-4.459	-5.209	-3.742
Oxidative Phosphorylation	4.719	-3.162	-5.417	1.897	6.682	4.95	-1.0	2.714
Neutrophil Extracellular Trap Signaling Pathway	4.907	-3.124	-4.588	2.065	5.181	2.959	-0.333	0.378
NRF2-mediated Oxidative Stress Response	2.714	-2.333	-2.683	-1.633	2.333	2.0	-1.897	N/A
Granzyme A Signaling	-3.413	0.943	2.874	-0.816	-4.315	-3.207	N/A	N/A
S100 Family Signaling Pathway	2.353	-1.225	-2.626	-2.646	0.626	2.137	-1.414	N/A
CLEAR Signaling Pathway	-1.606	2.263	2.292	0.302	-2.065	-1.0	-2.236	-1.0
Estrogen Receptor Signaling	1.0	-2.401	-3.255	-1.5	1.279	0.898	-0.905	0.816
Insulin Secretion Signaling Pathway	2.524	-2.117	-2.236	0.333	1.5	2.858	0.378	N/A
Synaptogenesis Signaling Pathway	1.213	-1.225	-1.756	-1.941	-0.943	2.744	0.277	-1.414
Glioblastoma Multiforme Signaling	1.633	-2.309	-2.887	-0.447	-1.134	2.714	N/A	N/A
Oxytocin Signaling Pathway	1.667	-1.508	-2.16	-1.732	0.632	1.698	-0.707	1.0
Sirtuin Signaling Pathway	-1.622	0.0	1.05	0.0	-2.402	-2.4	2.236	-1.342
Regulation of Actin-based Motility by Rho	1.89	-2.887	-3.138	N/A	1.633	1.265	N/A	N/A
ILK Signaling	1.897	-3.0	-1.915	0.0	0.577	2.5	0.816	0.0
Integrin Signaling	1.414	-1.528	-2.887	-1.342	-0.905	1.213	1.342	N/A
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	-0.577	-1.807	-0.926	-3.153	-1.886	1.886	0.378	N/A
RHOA Signaling	2.333	-2.673	-2.353	N/A	1.134	1.604	0.447	N/A
SNARE Signaling Pathway	2.0	-2.333	-0.784	0.0	2.0	1.633	-1.342	0.0
RAC Signaling	2.646	-1.414	-1.961	0.0	1.633	1.414	1.0	N/A
PI3K/AKT Signaling	1.0	-3.5	-3.413	0.447	0.0	1.667	N/A	N/A
Coronavirus Replication Pathway	2.236	-2.449	-2.333	1.0	N/A	2.0	N/A	N/A
CREB Signaling in Neurons	1.069	0.688	-2.03	-0.894	-2.324	2.646	0.302	N/A
Hepatic Fibrosis Signaling Pathway	2.0	-1.46	-1.633	-1.387	0.5	1.633	-0.302	-1.0
14-3-3-mediated Signaling	2.236	-2.111	-2.558	-0.447	1.414	0.632	0.447	N/A
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.236	-1.342	-2.524	N/A	2.236	1.414	N/A	N/A
Wound Healing Signaling Pathway	-1.134	-0.632	-1.177	-3.051	-1.732	1.508	0.447	N/A
BEX2 Signaling Pathway	1.0	-1.667	-1.5	-1.414	0.816	1.265	-2.0	N/A
Actin Cytoskeleton Signaling	1.508	-2.668	-2.064	0.0	0.277	1.147	1.89	N/A
Apelin Adipocyte Signaling Pathway	2.449	-1.633	-2.121	N/A	2.0	1.342	N/A	N/A
Ephrin Receptor Signaling	2.121	-2.496	-3.307	0.0	0.0	1.604	N/A	N/A
fMLP Signaling in Neutrophils	2.0	-2.121	-2.828	N/A	0.447	2.121	N/A	N/A
Immunogenic Cell Death Signaling Pathway	1.414	-0.816	-3.051	-1.0	-0.816	1.387	1.0	N/A
HER-2 Signaling in Breast Cancer	-1.291	-0.756	-0.7	-1.414	-2.236	-0.853	0.816	-1.414
Sumoylation Pathway	1.0	1.89	1.414	N/A	1.414	-1.667	-2.0	N/A
Oxytocin In Brain Signaling Pathway	0.447	-1.508	-2.558	-1.667	-1.0	2.111	N/A	N/A
Autophagy	2.333	-1.5	0.354	0.707	1.508	-1.732	-1.134	N/A
Signaling by Rho Family GTPases	1.508	-2.524	-2.777	0.0	0.302	0.728	1.414	N/A
Tumor Microenvironment Pathway	2.0	-1.633	-0.626	-2.646	-1.0	0.775	0.447	N/A
IL-8 Signaling	0.816	-3.051	-2.667	-0.707	0.0	1.0	0.816	0.0
mTOR Signaling	1.342	-1.732	-2.294	0.447	0.816	2.333	N/A	N/A
Colorectal Cancer Metastasis Signaling	0.447	-1.604	-2.263	-1.134	-0.378	2.138	-1.0	0.0
Synaptic Long Term Depression	N/A	0.378	-2.0	-2.496	-1.414	1.265	-1.342	N/A
Pulmonary Fibrosis Idiopathic Signaling Pathway	-1.0	0.258	0.0	-2.065	-2.0	2.132	0.905	0.447
Epithelial Adherens Junction Signaling	1.508	-1.528	-1.183	0.447	1.941	-0.258	1.89	N/A
Actin Nucleation by ARP-WASP Complex	1.342	-2.828	-3.441	N/A	N/A	1.134	N/A	N/A
