© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Nonhematologic malignant neoplasm	19.715789855517663	48.329642273986785	138.9708294433609	23.256187167769678	28.83792849425192	52.42745127938323	16.143649215772815	3.8723485144157435
Non-hematological solid tumor	20.337302769175682	48.3816808402139	139.66073558271228	23.901281187153092	29.952630702989783	52.42745127938323	16.155466112725897	0.0
Cancer	21.555791309227082	45.31467492489169	130.46086844187724	25.081590547948622	29.409963802654126	48.27001726486338	18.41982029994205	6.0199244730504535
Tumorigenesis of tissue	18.55887384720566	44.983711058083344	127.80936165979485	25.98935537117133	29.7893005227514	47.03749927257598	17.476905790669957	3.5804988121805983
Non-melanoma solid tumor	18.117713054169165	44.59514670863881	130.46086844187724	22.761859373452722	27.522789619731988	47.076516750000806	15.733751995147967	2.5646838691246834
Carcinoma	16.824254491214823	44.50960528731514	127.79749968105317	23.580167258301444	28.311030381868445	45.494378462266226	16.408904721971428	2.8103264445566265
Malignant solid tumor	18.143343021123332	43.126886530749246	127.46636791200534	22.14020434337754	25.483931946231728	45.85431750833639	15.306581583596072	4.717723671494926
Solid tumor	18.484158516592434	44.223941833537786	127.14790740653483	21.973200109182645	26.370721249166582	45.42743148146686	15.1602950147344	0.0
Extracranial solid tumor	15.098503646258836	41.14942711595347	121.42609483056454	21.27857486283772	25.18207288845403	44.226118118816785	14.55351579891781	4.5106512086353465
Epithelial neoplasm	0.0	0.0	127.77115001479667	23.901281187153092	28.383569173275166	45.50062050297762	0.0	0.0
Extrapancreatic malignant tumor	11.282223951532872	23.325903475946646	89.80062789689612	21.82893917022382	17.378756944411304	36.301245665548905	15.46189477997311	2.3856011231674263
Disorder of basal ganglia	33.98533740411883	17.584446743943985	42.63233092167018	16.3228806711444	42.967761869663356	32.36064045596021	16.88636227632234	5.284872137326755
Movement Disorders	29.21531502458586	13.659834996288577	48.73608103005745	16.23068370109473	39.11109466628041	35.024588085019325	18.082454809834285	6.347615832409497
Neuromuscular disease	31.782151243275518	16.512673883512182	40.28106642030868	16.292421493042436	36.64182361914693	33.201198114953	18.75933206108039	5.402546491168131
Familial encephalopathy	21.59467989589087	19.524019061893828	54.847945894322194	8.93938560152721	32.614481877747316	31.39578337020492	13.580520998387883	5.251680221504471
Familial neurological disorder	19.280858179468872	14.830975663659029	52.21843345488422	9.611549607976348	28.311030381868445	28.061186304292594	12.702773519356615	4.518971959972406
Head and neck tumor	5.663927460893638	19.680830765996213	82.8589998692182	9.801482575233534	11.365339232427631	29.274418736162858	7.178828574289285	1.706151459906339
Familial central nervous system disease	21.752928573706928	18.025695516895787	52.61208573766366	8.655831526365759	31.57842878115377	29.151353635002142	0.0	5.178904138395025
Necrosis	18.83776539744161	16.017430179579247	33.41515981001689	21.566872334263557	19.117739932257884	24.859548876753113	24.737212113190868	6.035991799725252
Cell death of osteosarcoma cells	26.89270698973195	18.984981196918895	16.7512279569771	25.744783510649185	27.33671941163191	9.549521255466413	24.808617272622673	9.52397708543489
Abdominal lesion	4.27035011064096	15.364428639274628	69.91563280918047	15.510538685741869	11.845461976353432	25.607227639153844	10.83601485504001	1.432895193542211
