© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Cell death of osteosarcoma cells	-6.252	5.947	5.078	-5.425	-5.814	-4.271	-5.578	-4.0
Cell death of cancer cells	-5.499	4.209	3.423	-4.536	-4.552	-3.433	-4.929	-3.362
Cell death of tumor cells	-5.286	3.916	3.324	-4.244	-3.673	-3.601	-5.132	-2.945
Viral Infection	5.505	-6.72	-5.993	0.166	2.205	3.454	1.907	0.557
Necrosis of tumor	-5.131	3.788	N/A	-4.085	-3.673	-3.69	-4.97	N/A
Organismal death	-3.893	6.367	6.803	-0.437	0.379	-3.683	-1.645	0.663
Infection of cells	4.421	-6.27	-5.383	N/A	1.192	3.437	N/A	N/A
Necrosis	-2.971	3.101	3.459	-2.005	-1.72	-3.103	-3.087	-1.243
Infection by RNA virus	3.94	-5.971	-4.848	N/A	1.198	2.772	-0.065	N/A
Cell survival	3.722	-5.345	-4.242	-0.55	1.219	1.753	0.532	-1.412
Replication of virus	3.099	-3.338	-3.167	0.953	2.213	1.759	2.931	N/A
Movement Disorders	-1.508	1.731	3.445	2.57	0.888	-4.515	1.454	0.424
Cell viability	3.341	-4.909	-3.781	-0.513	1.092	1.388	0.441	-1.065
Cell viability of tumor cell lines	2.829	-4.185	-3.56	-0.746	0.902	1.131	-1.068	-1.22
Replication of RNA virus	3.124	-3.433	-3.334	0.984	2.602	1.754	N/A	N/A
Cell-cell contact	N/A	N/A	-2.949	-3.755	-1.462	4.424	-0.765	-1.32
Organization of cytoplasm	0.869	-3.062	-2.351	-0.156	-1.36	2.31	3.267	1.106
Cancer	-2.388	0.002	-1.409	-3.096	-2.548	0.441	-1.696	-2.765
Microtubule dynamics	1.002	-2.569	-2.175	-0.284	-1.156	2.667	3.231	1.204
Organization of cytoskeleton	0.869	-2.882	-2.279	-0.156	-1.36	2.307	3.267	1.106
Apoptosis	-2.307	2.975	3.169	0.22	-0.333	-2.814	-1.594	0.687
Migration of cells	N/A	N/A	-4.66	1.159	-2.508	2.25	3.259	N/A
Proliferation of neural cells	1.304	-3.302	-3.954	0.212	0.595	2.08	1.833	-0.549
Replication of Influenza A virus	2.913	-3.0	-3.334	0.354	2.033	2.115	N/A	N/A
Proliferation of neuronal cells	1.388	-3.131	-3.471	0.095	1.049	1.716	2.165	-0.728
Cell movement	N/A	N/A	-4.519	0.93	-2.439	2.319	3.011	-0.146
Outgrowth of neurites	1.665	-2.653	-3.571	-0.506	1.121	1.699	1.764	-0.353
Growth of neurites	1.251	-3.113	-3.183	-0.645	1.014	1.838	1.778	-0.509
Cell proliferation of tumor cell lines	1.751	-3.218	-3.845	-0.114	-0.812	1.266	1.297	-0.968
Outgrowth of neurons	1.836	-2.506	-3.621	-0.351	1.293	1.692	1.889	N/A
Formation of cellular protrusions	1.191	-1.494	-2.259	0.581	-0.569	2.536	3.635	0.701
Development of neural cells	2.098	-0.579	-3.16	-0.735	-0.301	3.526	2.458	N/A
Infection of tumor cell lines	4.15	-4.351	-4.082	N/A	N/A	N/A	N/A	N/A
Development of neurons	1.826	-0.664	-2.805	-0.422	-0.316	3.064	2.402	0.718
Outgrowth of cells	1.594	-2.645	-3.632	-0.048	0.626	1.627	1.994	-0.036
Endocytosis	2.812	-3.234	-3.643	N/A	N/A	2.0	0.427	N/A
Infection by HIV-1	2.735	-5.197	-3.905	N/A	N/A	N/A	N/A	N/A
Infection of cervical cancer cell lines	3.57	-4.286	-3.973	N/A	N/A	N/A	N/A	N/A
HIV infection	2.735	-5.197	-3.764	N/A	N/A	N/A	N/A	N/A
Synthesis of protein	1.281	-3.363	-2.05	0.692	1.386	1.23	-0.257	1.324
Cell transformation	0.746	-2.394	-2.921	-0.536	-1.634	1.703	1.419	N/A
Cellular homeostasis	3.879	-3.557	-3.083	N/A	N/A	0.683	N/A	N/A
Cell death of tumor cell lines	-1.423	2.22	2.131	-0.974	-0.257	-2.355	-1.755	N/A
Engulfment of tumor cell lines	2.742	-3.146	-4.398	N/A	0.72	N/A	N/A	N/A
Apoptosis of tumor cell lines	-1.505	2.279	2.213	-0.27	0.284	-2.574	-1.668	N/A
Neuritogenesis	1.892	-0.353	-2.026	-0.38	-0.449	2.326	2.498	0.716
Cell movement of tumor cell lines	N/A	N/A	-3.889	1.115	-1.933	1.275	2.421	N/A
Development of central nervous system	1.388	-1.07	-2.859	0.433	-0.079	2.514	1.068	-0.723
Growth of tumor	1.677	-2.593	N/A	0.088	-0.814	3.006	1.889	N/A
Sprouting	1.772	N/A	-1.792	-0.921	-0.65	1.84	1.686	1.395
Bone marrow neoplasm	1.342	-2.026	-2.637	-0.277	-0.555	2.143	1.067	N/A
Invasive tumor	0.541	-2.784	-2.901	-0.159	-1.322	1.194	0.916	0.0
