© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulators	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
torin1	97.25612706962892	54.97147551677756	50.85068445037961	63.08111518871307	97.33006023732065	52.85446230480729	71.34440300652822	31.49537628118153
LARP1	80.3262611988025	52.07617280611849	34.98824147027009	85.05520241617658	76.28266168871238	40.51521883271233	97.83561383412557	39.255237062147515
3,5-dihydroxyphenylglycine	60.60777585312985	29.950439410011118	23.863428607898573	70.26685779797084	61.98447247719683	26.98219287288892	67.2450857162541	29.82150084674793
MLXIPL	53.604102679653046	26.14556946031073	14.782225642349223	55.14017700182619	48.53956766768246	22.470835358554783	55.07538141193208	23.49937488581709
RICTOR	68.51324800171608	31.29711759064439	36.525838597631875	22.03801463057556	60.64638207625969	26.19646849180069	22.122466879163795	12.883912749000906
FMR1	38.67874460064913	21.297997779459397	24.400887714909974	48.9388957374958	44.794669062176034	30.728544795806226	49.5460799847929	20.975837161456642
MYCN	35.930167077779586	30.929142875574186	30.453257537451154	48.47024315290413	36.657371619382445	31.760497892758977	47.3490740581444	17.691780779263546
acyline	46.49228458362883	23.864667733563568	14.210973952385116	50.30480907364366	49.17338630215731	23.547591093608826	51.22308389201979	15.44663775518985
sirolimus	46.088858963139906	23.837673832704958	24.610884720534823	35.43458457812389	41.414060941938104	29.64530885065915	40.26207468858394	10.622303622802615
MYC	32.775364434575934	23.855848703425753	23.957780333382605	40.49949786430707	31.74164520011254	39.830353844437816	41.45987681276854	15.499153905483304
