© 2000-2023 QIAGEN. All rights reserved.

Upstream Regulators	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
LARP1	-8.122	7.02	6.829	-7.618	-8.122	-6.639	-7.94	-5.564
MLXIPL	8.0	-6.783	-6.378	7.353	7.937	6.625	7.216	5.099
RICTOR	-8.975	7.123	8.048	-5.249	-9.416	-6.277	-5.364	-4.119
3,5-dihydroxyphenylglycine	8.246	-6.532	-5.832	6.707	8.184	6.044	6.736	4.747
ST1926	-7.809	8.01	9.484	-4.596	-7.549	-6.061	-4.316	-2.887
CD 437	-7.112	7.568	9.326	-4.2	-6.75	-6.755	-3.402	-2.828
sirolimus	-6.971	6.889	6.694	-4.164	-6.858	-4.808	-4.437	-3.568
Lh	7.141	-5.731	-5.307	5.336	7.35	4.067	4.919	3.154
MYC	6.999	-5.98	-3.425	6.15	6.477	3.019	6.204	4.215
MYCN	7.089	-4.654	-3.433	6.151	6.827	3.83	5.476	4.047
GABA	-5.35	5.093	5.385	-2.846	-4.225	-5.508	-4.012	-2.168
metribolone	6.105	-5.233	-8.408	-1.219	6.402	5.16	-1.001	N/A
FMR1	-6.23	2.84	2.989	-4.289	-5.94	-3.898	-4.241	-2.453
torin1	-6.063	4.634	6.55	0.508	-5.971	-5.456	-0.863	-1.698
beta-estradiol	5.953	-6.202	-7.619	0.682	4.752	3.291	1.429	0.871
TEAD1	5.488	-4.042	-6.525	N/A	5.308	4.424	-1.89	0.6
NFE2L2	4.556	-4.9	-7.342	-1.428	3.228	4.963	-1.746	0.113
5-fluorouracil	-4.611	3.943	4.681	-2.793	-3.577	-3.534	-1.619	-2.292
DDX5	4.811	-4.359	-5.24	-1.0	5.266	4.006	N/A	1.673
CAB39L	5.568	-4.013	-5.379	N/A	5.568	4.243	N/A	1.0
DDX3X	3.845	-3.051	-2.79	3.357	4.096	2.885	3.5	1.633
CD40	4.642	-3.844	-5.757	N/A	4.626	4.258	N/A	1.276
XBP1	4.383	-4.67	-6.607	N/A	2.631	5.111	-0.392	N/A
1,2-dithiol-3-thione	4.034	-5.295	-6.72	-0.664	2.633	3.824	-0.541	N/A
STK11	4.047	-3.075	-4.435	-0.923	5.427	3.254	N/A	-2.121
CD3	2.598	-4.743	-4.547	1.746	2.942	2.035	1.211	1.943
nitrofurantoin	4.231	-3.702	-2.982	2.53	3.543	1.714	0.954	2.0
mibolerone	3.317	-4.133	-4.12	1.414	1.722	2.757	1.912	2.191
CPT1B	-4.949	3.376	3.708	N/A	-5.379	-3.464	N/A	N/A
KDM5A	-4.359	3.446	5.285	N/A	-4.888	-2.874	N/A	N/A
MYCL	3.375	-3.063	-2.437	2.395	3.087	2.053	2.157	1.982
RB1	3.605	-3.414	-4.474	-1.874	2.02	4.438	0.722	N/A
IACS-010759	3.0	-2.646	-1.89	3.0	2.333	2.449	2.828	2.236
BCR (complex)	4.175	-3.402	-4.557	N/A	4.14	2.419	-0.533	-0.532
INSR	4.088	-2.265	-5.664	-0.113	3.586	2.873	-0.893	-0.235
progesterone	2.841	-2.364	-4.226	-1.69	3.914	3.205	-0.994	N/A
CD28	2.395	-3.685	-4.044	1.383	2.55	2.123	1.148	1.842
SOX2	0.82	-2.574	-4.585	-2.703	-2.57	3.823	-0.532	1.509
methapyrilene	3.317	-3.035	-2.524	3.162	2.183	0.258	1.897	2.0
Hbb-b1	3.9	-2.333	-4.69	N/A	4.243	3.162	N/A	N/A
HBA1/HBA2	3.9	-2.333	-4.69	N/A	4.243	3.162	N/A	N/A
HSP90B1	2.324	-2.714	-2.183	2.449	2.887	2.0	1.667	2.0
mono-(2-ethylhexyl)phthalate	2.5	-0.896	-4.047	-0.664	2.828	2.198	-2.804	-2.236
TCR	3.947	-1.387	-1.088	3.585	4.013	1.056	2.469	0.627
IL5	2.357	-4.279	-4.874	-0.234	2.864	1.884	-1.387	N/A
PTEN	-3.835	3.758	3.178	0.529	-3.321	-2.078	-0.743	N/A
APP	3.129	-0.794	-3.262	-1.625	2.84	2.322	-1.74	-1.714
EIF6	-3.771	2.714	2.449	-2.449	-4.264	-0.905	-0.816	N/A
STAT5B	2.982	-3.029	-3.497	-0.359	3.462	2.2	-0.75	1.087
BACH1	-3.053	2.896	2.911	N/A	-3.487	-2.746	2.183	N/A
IGF1R	3.884	-1.869	-3.071	-0.748	3.956	1.719	-1.863	0.0
NPC1	N/A	3.265	3.613	2.412	-2.393	-2.947	2.425	N/A
SYVN1	2.515	-3.153	-2.96	N/A	2.53	3.677	-0.213	2.0
Insulin	3.022	-2.837	-3.449	-1.055	2.955	1.174	-1.352	-1.006
SIGLEC8	3.207	-3.0	-3.873	-0.447	3.464	2.333	-0.447	N/A
AKT1	2.156	-3.106	-2.246	-2.322	2.031	3.308	-0.729	0.689
