Source	Target	Type
CEBPZ	RPL6	SCENIC
CEBPZ	COX6A1	SCENIC
CEBPZ	PTGES3	SCENIC
CEBPZ	HNRNPC	SCENIC
CEBPZ	HMGB1	SCENIC
CEBPZ	RPS27	SCENIC
CEBPZ	MRPL4	SCENIC
CEBPZ	SUMO2	SCENIC
CEBPZ	SAE1	SCENIC
CEBPZ	UBE2R2	SCENIC
CEBPZ	EIF5A	SCENIC
CEBPZ	RPS16	SCENIC
CEBPZ	RAC1	SCENIC
CEBPZ	RPS21	SCENIC
CEBPZ	ARL3	SCENIC
CEBPZ	HNRNPF	SCENIC
CEBPZ	DDIT4	SCENIC
CEBPZ	STIP1	SCENIC
CEBPZ	EEF2	SCENIC
CEBPZ	HSP90AB1	SCENIC
CEBPZ	STAU1	SCENIC
CEBPZ	UBXN1	SCENIC
CEBPZ	C12orf65	SCENIC
CEBPZ	CBX1	SCENIC
CEBPZ	NUTF2	SCENIC
CEBPZ	ACTB	SCENIC
CEBPZ	RPL22	SCENIC
CEBPZ	MLF2	SCENIC
CEBPZ	DAZAP2	SCENIC
CEBPZ	CDC42	SCENIC
CEBPZ	PSMB5	SCENIC
CEBPZ	VDAC1	SCENIC
CEBPZ	PTP4A2	SCENIC
CEBPZ	YWHAG	SCENIC
CEBPZ	ARMC1	SCENIC
CEBPZ	SRSF3	SCENIC
CEBPZ	PCBP2	SCENIC
CEBPZ	LSM2	SCENIC
CEBPZ	RTF1	SCENIC
CEBPZ	THRA	SCENIC
CEBPZ	EIF4EBP1	SCENIC
CEBPZ	SET	SCENIC
CEBPZ	COX5A	SCENIC
CEBPZ	GTF2F2	SCENIC
CEBPZ	EIF3J	SCENIC
CEBPZ	PSMD4	SCENIC
CEBPZ	ATP13A2	SCENIC
CEBPZ	MRPS21	SCENIC
CEBPZ	HACD3	SCENIC
CEBPZ	PTMS	SCENIC
CEBPZ	HNRNPAB	SCENIC
CEBPZ	PAIP2	SCENIC
CEBPZ	PAFAH1B3	SCENIC
CEBPZ	BASP1	SCENIC
CEBPZ	RHOA	SCENIC
CEBPZ	NDUFC1	SCENIC
CEBPZ	JAK1	SCENIC
CEBPZ	SRPK2	SCENIC
CEBPZ	DPM3	SCENIC
CEBPZ	LMO4	SCENIC
CEBPZ	RTN3	SCENIC
CEBPZ	TUBA1B	SCENIC
CEBPZ	ENO1	SCENIC
CEBPZ	RPS8	SCENIC
CEBPZ	CBX5	SCENIC
CEBPZ	SBK1	SCENIC
CEBPZ	LHPP	SCENIC
CEBPZ	ZNF703	SCENIC
CEBPZ	SNRPD1	SCENIC
CEBPZ	WDCP	SCENIC
CTCF	BAG6	SCENIC
CTCF	TRMT112	SCENIC
CTCF	SUPT16H	SCENIC
CTCF	EIF3I	SCENIC
CTCF	AP1S2	SCENIC
CTCF	UBL5	SCENIC
CTCF	SF3B4	SCENIC
CTCF	NDUFS3	SCENIC
CTCF	LSM1	SCENIC
CTCF	RPL27A	SCENIC
CTCF	TMEM208	SCENIC
CTCF	BANF1	SCENIC
CTCF	PCOLCE	SCENIC
CTCF	SUMO1	SCENIC
CTCF	USE1	SCENIC
CTCF	SF3B6	SCENIC
CTCF	EIF2A	SCENIC
CTCF	PFN1	SCENIC
CTCF	NUDT5	SCENIC
CTCF	TMA7	SCENIC
CTCF	AP2B1	SCENIC
CTCF	TLN1	SCENIC
CTCF	SF3B2	SCENIC
CTCF	NAA20	SCENIC
CTCF	RPL32	SCENIC
CTCF	IER2	SCENIC
CTCF	MAGEF1	SCENIC
CTCF	TGS1	SCENIC
CTCF	THUMPD3	SCENIC
CTCF	SEC11A	SCENIC
CTCF	RALA	SCENIC
CTCF	MEA1	SCENIC
CTCF	RPS6	SCENIC
CTCF	SNRPD1	SCENIC
CTCF	MRPL52	SCENIC
CTCF	HSP90AB1	SCENIC
CTCF	EIF5A	SCENIC
CTCF	ARPC2	SCENIC
CTCF	DAZAP2	SCENIC
CTCF	ANAPC11	SCENIC
CTCF	MTPN	SCENIC
CTCF	DUSP6	SCENIC
CTCF	LAMTOR3	SCENIC
CTCF	YWHAB	SCENIC
CTCF	MYL12B	SCENIC
CTCF	CFL1	SCENIC
CTCF	WDR1	SCENIC
CTCF	COX8A	SCENIC
CTCF	EEF1B2	SCENIC
CTCF	TAF7	SCENIC
CTCF	DCTN3	SCENIC
CTCF	HNRNPF	SCENIC
CTCF	ARHGDIA	SCENIC
CTCF	BORCS7	SCENIC
CTCF	PARK7	SCENIC
CTCF	LZIC	SCENIC
CTCF	TXNIP	SCENIC
CTCF	RAE1	SCENIC
CTCF	MRPL33	SCENIC
CTCF	FBXW11	SCENIC
CTCF	MPDU1	SCENIC
CTCF	FKBP3	SCENIC
CTCF	SET	SCENIC
CTCF	GRWD1	SCENIC
CTCF	PKN1	SCENIC
CTCF	ZNF22	SCENIC
CTCF	RFK	SCENIC
CTCF	APEH	SCENIC
CTCF	MYL6B	SCENIC
CTCF	UBE2J2	SCENIC
CTCF	ADIPOR1	SCENIC
CTCF	MAP7D1	SCENIC
CTCF	GRB2	SCENIC
CTCF	ILF2	SCENIC
CTCF	VEGFB	SCENIC
CTCF	ENOPH1	SCENIC
CTCF	RPS16	SCENIC
CTCF	DNAJA1	SCENIC
CTCF	RPL23	SCENIC
CTCF	BNIP3L	SCENIC
CTCF	XRCC5	SCENIC
CTCF	LSM8	SCENIC
CTCF	RBMX2	SCENIC
CTCF	DDT	SCENIC
CTCF	DPYSL2	SCENIC
CTCF	EIF2S1	SCENIC
CTCF	SLC35A5	SCENIC
CTCF	UBA52	SCENIC
CTCF	TUBA1B	SCENIC
CTCF	MRPL57	SCENIC
CTCF	CTDNEP1	SCENIC
CTCF	NUDCD2	SCENIC
CTCF	CEBPZOS	SCENIC
CTCF	PSD	SCENIC
CTCF	TOP1	SCENIC
CTCF	PSENEN	SCENIC
CTCF	HNRNPK	SCENIC
CTCF	SMAP1	SCENIC
